16:59:25 (00:00:10) (chat)  svh_kalmar: BSUFlick
17:01:51 (00:02:35) (chat)  whiteb1tch: артур, как зуб?
17:01:54 (00:02:39) (chat)  iMrPerezz: Артуркааааа
17:01:54 (00:02:39) (chat)  zavodgames: Привет артур привет чатик
17:01:55 (00:02:40) (chat)  randevull: выпустил малыша грогнака
17:01:56 (00:02:41) (chat)  Roorm: Как же Forssell
17:01:58 (00:02:42) (chat)  DrifterWWE: чё-та Артур маленьким стал
17:02:00 (00:02:44) (chat)  TheDrHax: monkaBlanket
17:02:00 (00:02:44) (chat)  Quiet_Saturn: pepeJAM
17:02:00 (00:02:44) (chat)  Bogratova: ору с ББ-Грогнока в капсуле OMEGALUL
17:02:00 (00:02:44) (chat)  BlackStas: @morlock871 на стриме по Персоне стримлер говорил, что раньше всегда большими буквами писал свое имя на англ языке капсом APTYP, а с англа это и читается аптип)
17:02:00 (00:02:45) (chat)  Albatros128: Г Е Н И А Л Ь Н О ! bufaKojimaGenius
17:02:02 (00:02:46) (chat)  MENGAME: zululDrums zululDrums zululDrums zululDrums zululDrums zululDrums zululDrums zululDrums zululDrums
17:02:03 (00:02:47) (chat)  morlock871: Ща подождите, я своему ББ подгузники сменю
17:02:04 (00:02:49) (chat)  Dima_ShH: bufaLittleNinya bufaLittleNinya bufaLittleNinya
17:02:06 (00:02:50) (chat)  Nightbot: Подписаться с мобилы: https://subs.twitch.tv/blackufa
17:02:06 (00:02:50) (chat)  mad_iris: всем дратути
17:02:09 (00:02:53) (chat)  hero1ca: RainbowPls RainbowPls RainbowPls
17:02:09 (00:02:54) (chat)  svh_kalmar: monkaSHAKE
17:02:10 (00:02:54) (chat)  Roorm: Как же Forssel Божиит bufaLewd bufaLewd bufaGlases
17:02:11 (00:02:56) (chat)  LOTUUUUS: Чатик BSUStr <3 TakeNRG lotusp1COOL SmokeTime
17:02:12 (00:02:56) (chat)  MsFirehawk: чувствую себя примерно как эти киты на пляже
17:02:13 (00:02:57) (chat)  Daredo_: PepoDance
17:02:13 (00:02:57) (chat)  Ananassya: TaBeRu
17:02:15 (00:02:59) (chat)  absurd909: BlessRNG riPepperonis
17:02:17 (00:03:01) (chat)  helene_23: какой ми ми ми грузчик))
17:02:17 (00:03:02) (chat)  TheDrHax: Саундтрек топовейший Kreygasm
17:02:18 (00:03:02) (chat)  50kgdumbbells: Чатико, привет. Все готовы к отличному вечеру?
17:02:21 (00:03:06) (chat)  EriasK: garyBoard garyBoard garyBoard garyBoard garyBoard
17:02:23 (00:03:07) (chat)  Jipegass: Сломал
17:02:26 (00:03:11) (chat)  iMrPerezz: ееееее
17:02:27 (00:03:11) (chat)  heavyrayx: Прувейт
17:02:29 (00:03:13) (chat)  avtomaton: Алло ребята, этот стример конченый. Он по 10 часов ходит - носит. .. мне нравится.
17:02:29 (00:03:14) (chat)  MsFirehawk: привет, Артур <3 хало чат
17:02:30 (00:03:14) (chat)  Volion: Извращенец вернулся!
17:02:30 (00:03:14) (chat)  svh_kalmar: да
17:02:30 (00:03:14) (chat)  Nirukech: Nirukech subscribed at Tier 1. They've subscribed for 40 months, currently on a 40 month streak! Уже 40 лет с вами!!! Артур, Даша и конечно же ЧАТ люблю вас по-гейски!!! bufaKojimaGenius
17:02:30 (00:03:14) (chat)  Kinni_Winni: Артур побледнел? посинел? пожелтел?
17:02:32 (00:03:16) (chat)  Bogratova: опять все сломал
17:02:32 (00:03:16) (chat)  BlackStas: намальна
17:02:33 (00:03:17) (chat)  Pixie_Djin: алло
17:02:33 (00:03:18) (chat)  TheDrHax: Kappa /
17:02:34 (00:03:18) (chat)  whiteb1tch: еееееей
17:02:35 (00:03:19) (chat)  absurd909: слышно норм
17:02:35 (00:03:19) (chat)  tribunal40k: салют!
17:02:35 (00:03:19) (chat)  SalmySenpai: все великолепно
17:02:36 (00:03:20) (chat)  frusyazavra: хорошо
17:02:36 (00:03:20) (chat)  mackupp: Дратути VoHiYo
17:02:36 (00:03:20) (chat)  Kubanod77: Я работаю, стоит ли смотреть стрим?
17:02:36 (00:03:21) (chat)  Albatros128: SeriousSloth MercyWing2
17:02:37 (00:03:21) (chat)  w0tel: слышно стандартно
17:02:37 (00:03:22) (chat)  yarnys: Слышно
17:02:37 (00:03:22) (chat)  Daredo_: BSUStr
17:02:38 (00:03:22) (chat)  Azmeran: HeyGuys
17:02:38 (00:03:22) (chat)  EllaFa: Слышно все хорошо
17:02:38 (00:03:22) (chat)  poloz1k: да
17:02:39 (00:03:23) (chat)  Phe0wlniX: все хорошо
17:02:39 (00:03:23) (chat)  bernariym: Привееееееееееееееееееееееееет
17:02:39 (00:03:23) (chat)  MENGAME: @BlackUFA Ура, ура ура! Привет! Слышно хорошо!
17:02:39 (00:03:23) (chat)  Void_Soul__: Окэ
17:02:40 (00:03:24) (chat)  inquves: алло
17:02:40 (00:03:24) (chat)  Stigmaster51: Нормально слышно
17:02:40 (00:03:25) (chat)  Nobuhiro24: @BlackUFA Артур, вчерашние 9 с половиной часов это было слишком, и ты упоролся и частик упоролся, давай сегодня только 8?
17:02:40 (00:03:25) (chat)  live_marcess: привет
17:02:40 (00:03:25) (chat)  ocean_whales: !какигра
17:02:41 (00:03:25) (chat)  Nightbot: Игра хорошая. А ты не очень.
17:02:42 (00:03:26) (chat)  DrifterWWE: норм
17:02:43 (00:03:27) (chat)  draco__malfoy__: OMEGABSU OMEGABSU OMEGABSU
17:02:43 (00:03:27) (chat)  mercanie1: в чом смысол игры SMOrc
17:02:44 (00:03:28) (chat)  vihenka46: привет хорошо слышно)
17:02:44 (00:03:28) (chat)  zeitgeistxxl: норм
17:02:45 (00:03:30) (chat)  mad_iris: я от силы часа два прошлый стрим посмотрела, я что-нибудь пойму? NotLikeThis
17:02:46 (00:03:30) (chat)  kitjamjau: alo
17:02:46 (00:03:30) (chat)  bobuika: здравствуйте, уважаемые bufaZlo
17:02:47 (00:03:31) (chat)  Roorm: @BlackUFA Что снилось Артур)
17:02:47 (00:03:31) (chat)  KeylorReyzer: Все хорошо, но Джек тихий
17:02:47 (00:03:31) (chat)  Alex15190: @BlackUFA слышно хорошо)
17:02:47 (00:03:32) (chat)  TheDrHax: bufaLove bufaLove bufaLove
17:02:48 (00:03:32) (chat)  jornie_maikeru: @BlackUFA Стандартные? Ну тогда... Опаздываешь
17:02:49 (00:03:33) (chat)  vladiskor_tw: Дадова, все норм слышна
17:02:49 (00:03:33) (chat)  viktorserg: алло
17:02:49 (00:03:33) (chat)  absurd909: поставил сердечко
17:02:50 (00:03:34) (chat)  Albatros128: bufaLove bufaLove bufaLove bufaLove bufaLove
17:02:50 (00:03:34) (chat)  MENGAME: <3 <3 <3 <3 <3 <3
17:02:52 (00:03:37) (chat)  Ananassya: @BlackUFA только -только досмотрела вчерашний стрим BSUTrolled
17:02:53 (00:03:37) (chat)  mrakobes888: bufaDumb bufaDumb bufaDumb
17:02:53 (00:03:37) (chat)  Bogratova: <3 <3 <3
17:02:54 (00:03:38) (chat)  Kinni_Winni: Не туда! Ящик пропустил!
17:02:54 (00:03:38) (chat)  eidesent: слышно отлично, музыка топ
17:02:54 (00:03:38) (chat)  EriasK: <3
17:02:54 (00:03:38) (chat)  StrimanSSSS: <3
17:02:55 (00:03:39) (chat)  bliztim: Звук лагает
17:02:55 (00:03:40) (chat)  6665556: @BlackUFA "стандартная тема", что ты на это скажешь?
17:02:56 (00:03:40) (chat)  zoddimmortal12: zoddimmortal12 subscribed at Tier 1. They've subscribed for 13 months, currently on a 13 month streak! Ну чо ранарод?! Погнали? ПЫ СЫ: Спасибо за стримы и отличное настроение=)
17:02:56 (00:03:40) (chat)  MaxOfWar: <3
17:02:57 (00:03:41) (chat)  BlackStas: @Nirukech bufaLove bufaLove bufaLove bufaLove
17:02:57 (00:03:41) (chat)  mackupp: <3
17:02:58 (00:03:42) (chat)  MegalodonTallinn: Алло меня слышно))))
17:02:59 (00:03:43) (chat)  hadds0n: <3 <3 <3 <3 <3 <3 <3 <3 <3
17:02:59 (00:03:44) (chat)  hero1ca: pepeL pepeL
17:03:00 (00:03:44) (chat)  kimmccormik: одобряем <3
17:03:00 (00:03:44) (chat)  daria_wright: <3 <3 <3 <3
17:03:02 (00:03:46) (chat)  blackoren56: Привет Артур StrawBeary StrawBeary StrawBeary
17:03:02 (00:03:47) (chat)  LLIAX__: давай 12
17:03:04 (00:03:48) (chat)  AleksWin4ester: bufaKojimaGenius
17:03:04 (00:03:48) (chat)  pocomaha: <3
17:03:04 (00:03:49) (chat)  artem_helicopter: Спрячь свое сияние
17:03:05 (00:03:49) (chat)  Nightbot: Поддержи стримера! Купи RDR 2 в EGS по этой ссылке: https://store.epicgames.com/datboy/red-dead-redemption-2
17:03:06 (00:03:50) (chat)  frusyazavra: ни че не слышно, тут реклама
17:03:06 (00:03:51) (chat)  bliztim: BisexualPride
17:03:06 (00:03:51) (chat)  ing_lorious: <3 <3 <3 <3 <3
17:03:07 (00:03:52) (chat)  yarnys: Реклама DansGame
17:03:07 (00:03:52) (chat)  noxchux: <3 <3 <3
17:03:08 (00:03:52) (chat)  svh_kalmar: а может тебя
17:03:09 (00:03:53) (chat)  headron: Это нормально, что каждые 30 секунд реклама кино? Ну алло...
17:03:10 (00:03:54) (chat)  maemicorvo: у меня после вчерашнего музыка из игры в голове крутится! *донт би со сириееееес*
17:03:10 (00:03:55) (chat)  Roorm: <3 <3 <3 <3 <3 <3
17:03:10 (00:03:55) (chat)  Atsuomammoru: дратути
17:03:11 (00:03:56) (chat)  absurd909: главное, чтобы вовремя писял и кушал
17:03:12 (00:03:57) (chat)  kitjamjau: как самочувствие?
17:03:13 (00:03:57) (chat)  Maxsimuss007: @BlackUFA А давай с давай?
17:03:14 (00:03:58) (chat)  Nobuhiro24: Окай
17:03:15 (00:03:59) (chat)  mrakobes888: mrakobes888 subscribed at Tier 1. They've subscribed for 5 months! 
17:03:15 (00:04:00) (chat)  rina_rosche: bufaLove bufaLove bufaLove bufaLove
17:03:15 (00:04:00) (chat)  KeylorReyzer: Ахахаха) 8? Чатик слабый
17:03:19 (00:04:04) (chat)  DukeFleedTW: bufaKojimaGenius bufaKojimaGenius bufaKojimaGenius bufaKojimaGenius bufaKojimaGenius
17:03:20 (00:04:04) (chat)  hekojong: <3 <3 <3
17:03:24 (00:04:08) (chat)  MsFirehawk: где твоё литсо
17:03:25 (00:04:09) (chat)  mad_iris: а розыгрыш ключа будет?
17:03:25 (00:04:09) (chat)  Lamp_Master: Боже КармикКоала стримит дефстрендинг уже 24+ часа , жалко бедного
17:03:25 (00:04:10) (chat)  Icecord: я уже монстер купил , погнали
17:03:25 (00:04:10) (chat)  mrFust: Моя любимая реклама
17:03:28 (00:04:12) (chat)  Plotoiadnuikeksik: всем привет)
17:03:28 (00:04:12) (chat)  NaniStrike: Куча рекламы подрят NotLikeThis
17:03:29 (00:04:14) (chat)  Zmeigo: А давайте начнем без лишнего ни чего
17:03:30 (00:04:14) (chat)  bernariym: Я с нетерпением ждала всю нооочь , ура ура!
17:03:35 (00:04:19) (chat)  WaitForSummer: bufaLittleNinya
17:03:37 (00:04:21) (chat)  ssilverhand: наканецта NotLikeThis
17:03:38 (00:04:22) (chat)  vladiskor_tw: Самую гениальную точнее
17:03:39 (00:04:23) (chat)  Albatros128: @plotoiadnuikeksik, bufaLove MercyWing2
17:03:40 (00:04:24) (chat)  50kgdumbbells: Ну Гений же
17:03:43 (00:04:28) (chat)  LLIAX__: Кодзима гений bufaKojimaGenius
17:03:44 (00:04:28) (chat)  aristerk90: @BlackUFA Здравствуй! Я посмотрел весь вчерашний стрим bufaLittleNinya bufaKojimaGenius Держу в курсе
17:03:45 (00:04:30) (chat)  MsFirehawk: десятки это много или мало?
17:03:48 (00:04:32) (chat)  Mozzarell: Да отличная игра, чо ты) не 10 конечно, но хорошая @BlackUFA
17:03:48 (00:04:32) (chat)  Bogratova: @Plotoiadnuikeksik ConcernDoge / <3
17:03:48 (00:04:33) (chat)  heavyrayx: 11 из 10 доставка грузов на кончиках пальцев
17:03:48 (00:04:33) (chat)  Ellirain: dwillisXuxu
17:03:49 (00:04:33) (chat)  Liasmi: TwitchUnity
17:03:49 (00:04:34) (chat)  mamka_dan: @Plotoiadnuikeksik Привет VoHiYo
17:03:49 (00:04:34) (chat)  Albatros128: @waitforsummer, SeriousSloth MercyWing2
17:03:50 (00:04:34) (chat)  DDsage: чатик, Артур, привет HeyGuys
17:03:51 (00:04:35) (chat)  Daredo_: CoolStoryBob CoolStoryBob CoolStoryBob
17:03:52 (00:04:36) (chat)  Ananassya: @Plotoiadnuikeksik bufaLove
17:03:56 (00:04:41) (chat)  Void_Soul__: Kappa
17:03:57 (00:04:41) (chat)  mad_iris: жанр доставщика пиццы
17:03:57 (00:04:42) (chat)  mackupp: Genius
17:03:59 (00:04:44) (chat)  zeitgeistxxl: айсикью купи, ОЛО
17:04:02 (00:04:46) (chat)  mercanie1: прям как ты PixelBob
17:04:04 (00:04:48) (chat)  50kgdumbbells: Вообще напоминает Зельду, но... чуть скучнее
17:04:04 (00:04:48) (chat)  Nightbot: Мой Youtube канал-миллионник с хоррорами! Кирпичный свежак: https://www.youtube.com/watch?v=tMGUCA7Te9k
17:04:05 (00:04:49) (chat)  LOTUUUUS: @BlackUFA @thedrhax, @nirukech @blackstas @lliax__ @roorm @dima_shh @mengame @albatros128 @ananasstasia @dukefleedtw <3 lotusp1HEART <3 lotusp1HEART <3 lotusp1HEART <3 TakeNRG <3 lotusp1PIKA <3 lotusp1PIKA
17:04:05 (00:04:50) (chat)  1annexa1: bufaKojimaGenius bufaKojimaGenius bufaKojimaGenius
17:04:05 (00:04:50) (chat)  xbi_xbi: здравствуй дорогой Аптип CoolStoryBob
17:04:09 (00:04:53) (chat)  nagarashi_aino: Ну пока не прошли, мало ли)
17:04:11 (00:04:56) (chat)  Tomchat: @BlackUFA Добрый день! sempaiHi
17:04:12 (00:04:56) (chat)  maemicorvo: летс гооо
17:04:12 (00:04:56) (chat)  Roorm: Люди ставят 0 из того что себе что то надумали это пипец NotLikeThis NotLikeThis PurpleStar
17:04:12 (00:04:57) (chat)  KeylorReyzer: ЧАТ, как думаешь, сладкий или соленый попкорн?
17:04:12 (00:04:57) (chat)  Alex15190: @BlackUFA наушники прическу немного попортили.
17:04:13 (00:04:57) (chat)  maikeru_stranger: Привет Чат!!)))
17:04:13 (00:04:58) (chat)  yaebalvashemnenie: Прежде чем умничать, нужно её полностью пройти)
17:04:14 (00:04:58) (chat)  jolintropitantos: Всем Squid4. Блек что можешь росказать про сюжет игры?
17:04:14 (00:04:59) (chat)  WaitForSummer: @albatros128, OWL2019DVa
17:04:16 (00:05:00) (chat)  TheDrHax: @LotusPS, bufaLove
17:04:16 (00:05:00) (chat)  irikost: ну кино же
17:04:19 (00:05:04) (chat)  avtomaton: Не ну серьезно, хочется смотреть твой стрим, но два дня=20 часов, это пииисяя.
17:04:24 (00:05:08) (chat)  LLIAX__: @lotusps, GayPride GayPride GayPride
17:04:24 (00:05:08) (chat)  Plotoiadnuikeksik: @ananasstasia, bufaLove
17:04:24 (00:05:09) (chat)  Roorm: @lotusps, bufaLewd KonCha bufaLove
17:04:25 (00:05:09) (chat)  Albatros128: @lotusps, SeriousSloth MercyWing2
17:04:26 (00:05:11) (chat)  Tomchat: Чат KonCha
17:04:26 (00:05:11) (chat)  minnor80: Артур вчера оправдывал игру перед хейтерами, сегодня наоброт ))
17:04:28 (00:05:12) (chat)  zoddimmortal12: как по мне просто хорошая игра
17:04:29 (00:05:13) (chat)  evok_2: Артур, ты похорошел
17:04:31 (00:05:15) (chat)  Ananassya: @LotusPS gachiBASS
17:04:31 (00:05:15) (chat)  svh_kalmar: ты тоже доставляешь
