03:25:12 (00:00:00) (comm)  prizm199: ьр
23:00:49 (00:04:11) (chat)  Lyubim_: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
23:00:52 (00:04:15) (chat)  GlebBio: @alenafff Love rod Love wlgFl wers Love rod Love wlgFl wers
23:00:53 (00:04:15) (chat)  R1ddick: добрейший вечерочек HeyGuys
23:00:54 (00:04:16) (chat)  xan_46: Я конечно не саб, но тоже человек :)
23:01:00 (00:04:23) (chat)  Edmon__: wlgDen wlgDen wlgDen
23:01:03 (00:04:25) (chat)  alenafff: popHeart popHeart popHeart
23:01:03 (00:04:25) (chat)  AlexanderRoman: AlexanderRoman subscribed at Tier 1. They've subscribed for 10 months, currently on a 6 month streak! wlgDuck
23:01:04 (00:04:26) (chat)  wlgboy: @doberman4ik_ вы вернулись из пустоши - залог возвращен. Вы нашли уникальный предмет на старой свалке - [Компас «Иван Сусанин»]. Положив находку в инвентарь, вы обнаружили, что у вас осталось 4 свободных слота.
23:01:08 (00:04:30) (chat)  alenafff: wlg5 wlg5 wlg5
23:01:08 (00:04:30) (chat)  d9lg9l_gega: wlg5 wlg5 wlg5 wlg5 wlg5 Всем привет
23:01:09 (00:04:32) (chat)  dilvot: bjornLapa bjornLapa bjornLapa bjornLapa bjornLapa bjornLapa bjornLapa bjornLapa bjornLapa
23:01:10 (00:04:32) (chat)  GlebBio: @alenafff привет вообщем ))
23:01:12 (00:04:34) (chat)  Maelochka: wlg5 wlg5 wlg5 wlg5
23:01:12 (00:04:35) (chat)  princessintears: wlg5 wlg5 wlg5 wlg5
23:01:13 (00:04:35) (chat)  Sweetiepie66: @R1ddick wlg5
23:01:13 (00:04:35) (chat)  nyuta_live: nyuta_live subscribed at Tier 1. They've subscribed for 3 months! 
23:01:13 (00:04:35) (chat)  wlgboy: @nyuta_live вы успешно прошли проверку на гражданство Убежища. Вам выдано 1500 крышечек и 2 слота в инвентаре.
23:01:15 (00:04:38) (chat)  KaterinaAbram: Привет привет ❤️
23:01:16 (00:04:38) (chat)  Myfta: PogChamp PogChamp PogChamp PogChamp
23:01:16 (00:04:38) (chat)  Lyubim_: wlg5 wlg5 wlg5 wlg5 wlg5
23:01:17 (00:04:39) (chat)  dilvot: Привет всем bjornGasm bjornLapa
23:01:18 (00:04:40) (chat)  dark_lord_of_the_rings: !up
23:01:18 (00:04:41) (chat)  fertonok: wlgDuck
23:01:18 (00:04:41) (chat)  Nightbot: Онлайн уже 4 minutes 50 seconds
23:01:19 (00:04:41) (chat)  Sweetiepie66: wlg5 wlg5 wlg5 wlg5
23:01:20 (00:04:43) (chat)  Mutabor_Shooter: wlg5 wlg5 wlg5 wlg5 wlg5
23:01:21 (00:04:43) (chat)  santimentorr: !caps
23:01:21 (00:04:43) (chat)  wlgboy: @santimentorr ваш баланс составляет 848 крышечек.
23:01:22 (00:04:44) (chat)  GlebBio: @alexanderroman wlgMug wlgMug wlgMug wlgMug
23:01:23 (00:04:45) (chat)  Slimoff: wlg5 wlg5 wlg5
23:01:25 (00:04:48) (chat)  d9lg9l_gega: wlg5 wlg5 wlg5 wlg5
23:01:27 (00:04:49) (chat)  alenafff: @glebbio, привет :)
23:01:28 (00:04:51) (chat)  DerZinger: Драте! wlg5 wlgWow
23:01:29 (00:04:52) (chat)  santimentorr: !wasteland
23:01:30 (00:04:52) (chat)  wlgboy: @santimentorr вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 56 минут.
23:01:30 (00:04:52) (chat)  Mrs_Christ: wlg5 wlg5 wlg5 wlg5 wlg5
23:01:33 (00:04:55) (chat)  princessintears: @AlexanderRoman wlgDuck wlg5 wlgLuv
23:01:36 (00:04:58) (chat)  carbon_add: wlg5 the8bitS2_SG
23:01:36 (00:04:59) (chat)  selenium47: там разрабы её стримят после трансляции наверно можно будет
23:01:39 (00:05:01) (chat)  dreams01: misste7Purr misste7Purr misste7Purr
23:01:40 (00:05:02) (chat)  Barnaley: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 PogChamp PogChamp PogChamp PogChamp
23:01:40 (00:05:02) (chat)  Mutabor_Shooter: !up
23:01:42 (00:05:04) (chat)  Darkys120: ждём пылающий пукан Дениса Kappa
23:01:49 (00:05:12) (chat)  Mutabor_Shooter: !time
23:01:50 (00:05:12) (chat)  Nightbot: Онлайн уже 5 minutes 21 seconds
23:01:54 (00:05:16) (chat)  azeri217: привет)
23:01:54 (00:05:16) (chat)  AlexanderRoman: @GlebBio wlgHype wlgDance
23:01:54 (00:05:16) (chat)  dilvot: bjornGasm bjornGasm bjornGasm bjornGasm bjornGasm
23:01:55 (00:05:17) (chat)  Densky_66: @WELOVEGAMES привет Дэн, а можешь по хате поводить, интересно.Ремонтом своей занимаюсь
23:02:03 (00:05:25) (chat)  Mrs_Christ: Я, конечно, не Крист, а хотя подождите ка
23:02:06 (00:05:28) (chat)  impasseofevolution: wlg5 wlg5 wlg5 wlg5
23:02:11 (00:05:33) (chat)  FeBellus: @GlebBio Глеб @Mrs_Christ Даша
23:02:13 (00:05:35) (chat)  vsemhoroso: @mrs_christ, @princessintears @glebbio anakLuv anakHey
23:02:18 (00:05:40) (chat)  KaterinaAbram: Как дела Дениска? Как Здоровье ?
23:02:20 (00:05:42) (chat)  sanya00: sanya00 subscribed at Tier 1. They've subscribed for 14 months! Ну, надеюсь сейчас меня заметят
23:02:20 (00:05:43) (chat)  wlgboy: @sanya00 вы продлили гражданство Убежища. Вам выдано 500 крышечек и 5 слотов в инвентаре.
23:02:20 (00:05:43) (chat)  JohnS31: Всем привет!
23:02:22 (00:05:45) (chat)  FeBellus: @princessintears CoolStoryBob
23:02:26 (00:05:49) (chat)  DerZinger: wlg20 wlg20 wlg20 wlg20
23:02:27 (00:05:49) (chat)  Maelochka: wlg5 wlg5 wlg5 wlg5
23:02:28 (00:05:50) (chat)  alenafff: wlg5 wlg5 wlg5 wlg5 wlg5
23:02:28 (00:05:50) (chat)  fertonok: wlg5 wlg5 wlg5
23:02:29 (00:05:51) (chat)  vladislava24: привет
23:02:30 (00:05:52) (chat)  AlexanderRoman: @princessintears wlgHype wlgDance wlgPled wlgLuv
23:02:30 (00:05:52) (chat)  Sweetiepie66: wlg5 wlg5 wlg5 wlg5
23:02:30 (00:05:53) (chat)  Mrs_Christ: @FeBellus @vsemhoroso дратути
23:02:31 (00:05:54) (chat)  Lyubim_: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
23:02:32 (00:05:54) (chat)  dilvot: bjornGasm bjornGasm bjornGasm bjornGasm bjornGasm bjornGasm bjornGasm
23:02:33 (00:05:55) (chat)  carbon_add: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
23:02:34 (00:05:56) (chat)  ssonicfox: qsnakeZdarova qsnakeHeart
23:02:34 (00:05:56) (chat)  MrL3xx: @sanya00 кому ты нужен
23:02:34 (00:05:56) (chat)  orion11111111: orion11111111 subscribed at Tier 1. 
23:02:34 (00:05:57) (chat)  wlgboy: @orion11111111 документы на гражданство Убежища успешно оформлены! Вам выдано 500 крышечек и 1 слот в инвентаре.
23:02:38 (00:06:00) (chat)  Mrs_Christ: wlg5 wlg5 wlg5 wlg5
23:02:40 (00:06:02) (chat)  BANDGAMING: @WELOVEGAMES wlg5 wlg5 wlg5 wlg5
23:02:40 (00:06:03) (chat)  fertonok: wlg5 wlg5 wlg5
23:02:41 (00:06:03) (chat)  princessintears: @vsemhoroso, HeyGuys wlgLuv
23:02:43 (00:06:06) (chat)  GlebBio: @febellus Неизвестный wlgMug wlgMug
23:02:43 (00:06:06) (chat)  Mutabor_Shooter: wlg5 wlg5 wlg5 wlg5
23:02:44 (00:06:06) (chat)  alenafff: wlg5 wlg5 wlg5 wlg5 wlg5
23:02:44 (00:06:07) (chat)  Maelochka: wlg5 wlg5 wlg5 wlg5 wlg5
23:02:44 (00:06:07) (chat)  Sweetiepie66: wlg5 wlg5 wlg5
23:02:45 (00:06:07) (chat)  carbon_add: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
23:02:45 (00:06:08) (chat)  sanya00: wlgSad
23:02:52 (00:06:15) (chat)  alenafff: @mrs_christ, BLELELE
23:02:54 (00:06:16) (chat)  dilvot: bjornD
23:02:55 (00:06:17) (chat)  asmodey935: wlg5 wlg5 wlg5 wlg5 wlgPeka
23:02:55 (00:06:17) (chat)  FeBellus: @GlebBio CoolStoryBob
23:02:57 (00:06:19) (chat)  vsemhoroso: anakCry anakCry чсв стример
23:02:57 (00:06:19) (chat)  princessintears: @FeBellus PixelBob Keepo
23:02:57 (00:06:20) (chat)  NuclearThreatTeam: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
23:03:01 (00:06:24) (chat)  sanya00: Ясно
23:03:03 (00:06:25) (chat)  DerZinger: wlgCorn wlgCorn wlgCorn
23:03:04 (00:06:26) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
23:03:05 (00:06:27) (chat)  sanya00: gusBadMan
23:03:05 (00:06:28) (chat)  Mrs_Christ: Пс, парень, а хочешь немного внимания?
23:03:08 (00:06:30) (chat)  dilvot: bjornHa bjornHa bjornHa bjornHa
23:03:09 (00:06:31) (chat)  NekitChannelFun: драсте
23:03:10 (00:06:33) (chat)  alenafff: серьезно????
23:03:15 (00:06:37) (chat)  Mrs_Christ: @alenafff lickL
23:03:18 (00:06:40) (chat)  NekitChannelFun: !uptime
23:03:19 (00:06:41) (chat)  Nightbot: Онлайн уже 6 minutes 51 seconds
23:03:21 (00:06:44) (chat)  totsamyiharry: @mrs_christ хотю wlgLuv
23:03:23 (00:06:45) (chat)  ichikmarev: Добрый вечер
23:03:25 (00:06:47) (chat)  King_of_ICQ_: терария будет сегодня?
23:03:25 (00:06:47) (chat)  moroz61: С днем рождения Kappa
23:03:27 (00:06:49) (chat)  NuclearThreatTeam: @orion11111111 Здравствуй и добро пожаловать wlgPled
23:03:27 (00:06:49) (chat)  AViLovePlay: twaryna1off twarynaOld
23:03:27 (00:06:49) (chat)  jajab1ngs: i4xHi i4xTail
23:03:27 (00:06:50) (chat)  Kadanaq: KEKW
23:03:29 (00:06:51) (chat)  XZgad: с др кста
23:03:29 (00:06:51) (chat)  xan_46: SchubertRoll
23:03:29 (00:06:52) (chat)  carbon_add: а меня стример всегда замечает. не читает вслух просто Jebaited
23:03:29 (00:06:52) (chat)  FeBellus: @WELOVEGAMES Мы тебя не поздравили потому что ты не стримил Kappa
23:03:30 (00:06:53) (chat)  Nick_Tirone: добрый вечер
23:03:31 (00:06:53) (chat)  Lyubim_: Чсв зрители wlgOralb
23:03:33 (00:06:55) (chat)  vsemhoroso: anakShakal я поздравил
23:03:33 (00:06:55) (chat)  X_Dreamer: @WELOVEGAMES с днём рождения
23:03:33 (00:06:56) (chat)  alenafff: с др крч
23:03:35 (00:06:57) (chat)  viegoches: Денис, у тебя один глаз меньше другого
23:03:37 (00:06:59) (chat)  Kum7: billyReady всем
23:03:37 (00:06:59) (chat)  wisemars: @WELOVEGAMES ЧТо у тебя с глазами?
23:03:37 (00:06:59) (chat)  KaterinaAbram: Ой. Ну я же не обижаюсь RuleFive
23:03:39 (00:07:01) (chat)  orion11111111: приветствую)) wlgCheers
23:03:39 (00:07:02) (chat)  Mrs_Christ: @totsamyiharry wlgLuv wlgLuv wlgLuv
23:03:42 (00:07:04) (chat)  vsemhoroso: с др
23:03:42 (00:07:04) (chat)  fertonok: с др кста
23:03:44 (00:07:06) (chat)  princessintears: с днём рождения wlgSlow
23:03:44 (00:07:06) (chat)  totsamyiharry: @glebbio wlg5 wlg5 wlg5
23:03:47 (00:07:09) (chat)  kvasniydwarf: @alenafff + кста
23:03:47 (00:07:10) (chat)  Mrs_Christ: Спасибо
23:03:48 (00:07:10) (chat)  Rage_EYE: Всем привет wlg5 wlg5 wlgLuv wlgLuv
23:03:48 (00:07:11) (chat)  Edmon__: dtfZaharObmaz
23:03:48 (00:07:11) (chat)  totsamyiharry: @mrs_christ
23:03:49 (00:07:11) (chat)  Art_dik: спасибо
23:03:49 (00:07:11) (chat)  AlexanderRoman: !wasteland
23:03:49 (00:07:12) (chat)  wlgboy: @AlexanderRoman вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 42 минуты.
23:03:50 (00:07:12) (chat)  Kum7: спс
23:03:50 (00:07:12) (chat)  alenafff: tvjuiceCake wlgMug
23:03:50 (00:07:12) (chat)  AViLovePlay: ой спасибо
23:03:50 (00:07:13) (chat)  THE_AK1FA: Спасибо mirkot1Love
23:03:51 (00:07:14) (chat)  viegoches: тебе 54 года исполнилось да?
23:03:52 (00:07:14) (chat)  wolf0303: @WELOVEGAMES доброго вечера, Хранитель, хорошего стрима)
23:03:52 (00:07:15) (chat)  vladislava24: спс
23:03:53 (00:07:15) (chat)  a_mne_norm: пасиба LUL
23:03:53 (00:07:15) (chat)  laddrek: FeelsBirthdayMan
23:03:53 (00:07:15) (chat)  alenafff: спс
23:03:54 (00:07:16) (chat)  Grin01: @WELOVEGAMES спасибо
23:03:55 (00:07:17) (chat)  Sporka: И тебя Денис! Kappa
23:03:56 (00:07:18) (chat)  AlexxNT_96RU: Блин Ласка с Макатао в Германии пиво хлещут на фестивале BibleThump BibleThump BibleThump
23:03:57 (00:07:19) (chat)  dilvot: bjornGasm bjornGasm bjornGasm bjornGasm bjornGasm
23:03:57 (00:07:19) (chat)  lkrakenlx: спасибо <3
23:03:58 (00:07:20) (chat)  fertonok: спс
23:03:59 (00:07:22) (chat)  Sweetiepie66: @Rage_EYE wlg5
23:04:02 (00:07:25) (chat)  Lyubim_: от души wlgF
23:04:04 (00:07:26) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
23:04:04 (00:07:26) (chat)  wooden_house_: сяп
23:04:05 (00:07:28) (chat)  NuclearThreatTeam: Модерация Пустоши - здравствуйте wlgLuv wlgPled
23:04:06 (00:07:28) (chat)  AsjFrog: спасибо большое <3
23:04:06 (00:07:28) (chat)  FeBellus: @fertonok CoolStoryBob
23:04:07 (00:07:29) (chat)  dominuzzz: @WELOVEGAMES через месяц у меня будет,не забудь поздравить!
23:04:07 (00:07:29) (chat)  lavrin__: @WELOVEGAMES а я вчера отметил
23:04:09 (00:07:31) (chat)  totsamyiharry: @mrs_christ wlgDance wlgDance wlgDance
23:04:12 (00:07:34) (chat)  misanlD: спасибо
23:04:13 (00:07:35) (chat)  Mrs_Christ: @AlexxNT_96RU осуждаю
23:04:17 (00:07:39) (chat)  KaterinaAbram: Спасибо
23:04:18 (00:07:40) (chat)  AlexanderRoman: О. пустооошь
23:04:18 (00:07:40) (chat)  Nospire: Всем дратути. @WELOVEGAMES Доброго вечерочка, Дениска! :3
23:04:20 (00:07:42) (chat)  carbon_add: ой, а как он узнал, что у меня ДР в этом году был? the8bitPG
23:04:22 (00:07:44) (chat)  Siralexlancelot: @WELOVEGAMES Спасибо, откуда ты узнал что у меня в 20 году будет день рождение?
23:04:24 (00:07:46) (chat)  zelante_: на 10 лет вперед поздравь и отдыхай.
23:04:24 (00:07:46) (chat)  xsankors: у меня сегодня ДР ))
23:04:24 (00:07:46) (chat)  iiiKyro: Привет Хранитель, привет чатик wlg5 wlg5 wlg5 wlgPled
23:04:24 (00:07:47) (chat)  sanya00: wlgSad
23:04:27 (00:07:49) (chat)  massikcatswill: Добрейший вечерок, хранитель, чатик! wlgLuv wlgRuined wlgLuv
23:04:32 (00:07:54) (chat)  Mrs_Christ: @NuclearThreatTeam wlgHype
23:04:34 (00:07:56) (chat)  fertonok: wlgDeer
23:04:34 (00:07:56) (chat)  Kum7: billyReady
23:04:35 (00:07:57) (chat)  JohnS31: Тебя тоже с Днём Рождения!) @WELOVEGAMES
23:04:37 (00:07:59) (chat)  NuclearThreatTeam: @iiiKyro wlgPled wlg5
23:04:38 (00:08:01) (chat)  dilvot: bjornGasm TeaTime
23:04:41 (00:08:03) (chat)  Kum7: @mrs_christ, billyReady
23:04:44 (00:08:06) (chat)  jajab1ngs: @WELOVEGAMES Денис Денис привет у тебя за спиной всегда так красиво светится проведешь экскурсию как-нибудь?
23:04:45 (00:08:08) (chat)  Estirada: @WELOVEGAMES Спасибо, Денис!) wlgLuv
23:04:45 (00:08:08) (chat)  Dralexandr: @WELOVEGAMES привет) а помнишь как я тебя добавил в вк, а ты не принял запрос)))
23:04:47 (00:08:09) (chat)  Foretell55: Денис, ты так близко Kreygasm
23:04:47 (00:08:09) (chat)  Mrs_Christ: Всем привет, кого не видел
23:04:47 (00:08:09) (chat)  BANDGAMING: @WELOVEGAMES Денис, а где подарки? HolidayPresent HolidayPresent HolidayPresent HolidayPresent HolidayPresent HolidayPresent HolidayPresent
23:04:47 (00:08:09) (chat)  letkn0w: @WELOVEGAMES Привееееет, хорошего стрима
23:04:47 (00:08:09) (chat)  princessintears: @kum7, billyReady
23:04:51 (00:08:14) (chat)  NuclearThreatTeam: @Mrs_Christ wlgDen wlgMug
23:04:52 (00:08:14) (chat)  wlgboy: @impasseofevolution спасибо за поддержку на 100.00 RUB. Вам было выдано соответствующее кол-во крышечек.
23:04:54 (00:08:16) (chat)  FeBellus: @Estirada CoolStoryBob
23:04:56 (00:08:18) (chat)  ModeX__: RaccAttack
23:04:59 (00:08:21) (chat)  Kum7: @princessintears, ricardoFlick
23:05:00 (00:08:23) (chat)  Mutabor_Shooter: @WELOVEGAMES упал на клаву, когда набирал никнейм
23:05:03 (00:08:25) (chat)  Estirada: @FeBellus Ну чтоооо?)
23:05:04 (00:08:26) (chat)  Mrs_Christ: @Kum7 billyReady
23:05:07 (00:08:30) (chat)  ULItochka_Games: ULItochka_Games subscribed at Tier 1. They've subscribed for 2 months, currently on a 1 month streak! 
23:05:08 (00:08:30) (chat)  wlgboy: @ULItochka_Games вы успешно прошли проверку на гражданство Убежища. Вам выдано 1000 крышечек и 1 слот в инвентаре.
23:05:10 (00:08:32) (chat)  DokerStim: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
23:05:13 (00:08:35) (chat)  carbon_add: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
23:05:13 (00:08:36) (chat)  Lyubim_: оу май tvjuiceGasm
23:05:14 (00:08:36) (chat)  Mrs_Christ: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
23:05:14 (00:08:36) (chat)  Mutabor_Shooter: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
23:05:15 (00:08:37) (chat)  princessintears: wlg5 wlg5 wlg5 wlg5 wlg5
23:05:15 (00:08:38) (chat)  Sweetiepie66: wlg5 wlg5 wlg5 wlg5
23:05:17 (00:08:39) (chat)  Nospire: wlg5 wlg5 wlg5 OWL2019Tracer OWL2019Tracer
23:05:17 (00:08:39) (chat)  santimentorr: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
23:05:20 (00:08:42) (chat)  AlexanderRoman: delaylCHSW
23:05:20 (00:08:42) (chat)  p00zZiTif: а что сегодня за игра?
23:05:22 (00:08:44) (chat)  alenafff: @WELOVEGAMES а ты видел игру про гуся в егс?
23:05:22 (00:08:45) (chat)  FeBellus: @Estirada LUL Уже и поздароваться нельзя?
