17:02:06 (00:00:30) (chat)  anksi: Kreygasm Kreygasm
17:13:54 (00:12:17) (chat)  ChlamydiaEvgrafovna: @PriSmerti Супец wlgGillette
17:14:00 (00:12:24) (chat)  zerotustra: привет, чат wlgHype
17:14:10 (00:12:34) (chat)  ninnao_0: @LionSPb Во имя Енотиков VoHiYo wlgHype
17:14:10 (00:12:34) (chat)  PriSmerti: @zerotustra wlg5
17:14:11 (00:12:34) (chat)  LionSPb: @zerotustra привет wlg5 wlgOralb
17:14:12 (00:12:35) (chat)  Nick_TIRONE: @zerotustra wlg5 wlg5 wlg5
17:14:12 (00:12:35) (chat)  Mutabor_Shooter: !wasteland
17:14:12 (00:12:35) (chat)  wlgboy: @Mutabor_Shooter вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 43 минуты.
17:14:15 (00:12:38) (chat)  LightBringer347: @kozemehu wlgCheers wlgCheers wlgPled здравствуй))
17:14:16 (00:12:39) (chat)  Refokkusu: !throw wlgNade @WELOVEGAMES
17:14:16 (00:12:39) (chat)  wlgboy: прослушать саундтрек из Death Stranding можно по ссылке: https://vk.cc/a02mfe
17:14:17 (00:12:40) (chat)  ninnao_0: @zerotustra wlg5
17:14:18 (00:12:41) (chat)  wlgboy: @Refokkusu кидает гранату в @WELOVEGAMES, но тот прячется за @boge__
17:14:22 (00:12:45) (chat)  ChlamydiaEvgrafovna: @zerotustra Здравствуй wlgLuv
17:14:31 (00:12:55) (chat)  Nick_TIRONE: !caps
17:14:32 (00:12:55) (chat)  wlgboy: @Nick_TIRONE вы не можете это сделать, пока находитесь в пустоши.
17:14:36 (00:12:59) (chat)  LionSPb: @ninnao_0 wlgDen
17:14:37 (00:13:00) (chat)  ba_dick: стрим только начинается?
17:14:39 (00:13:02) (chat)  Nick_TIRONE: !wasteland cancel
17:14:39 (00:13:03) (chat)  wlgboy: @Nick_TIRONE вы вернулись назад в убежище. Залог не возвращен. Вас никто так рано не ждал wlgPeka
17:14:43 (00:13:06) (chat)  Textolite: wlgOralb wlgOralb
17:14:44 (00:13:08) (chat)  LionSPb: @ba_dick да
17:14:44 (00:13:08) (chat)  Refokkusu: !caps
17:14:45 (00:13:08) (chat)  wlgboy: @Refokkusu ваш баланс составляет 2785 крышечек.
17:14:45 (00:13:08) (chat)  dezmond774: !время
17:14:50 (00:13:14) (chat)  Do4ka1: ещё минут 5 или 6, Кодзима штаны одевает Kappa
17:14:52 (00:13:15) (chat)  Nick_TIRONE: !throw wlgLuv @kawa_blelele
17:14:52 (00:13:15) (chat)  ba_dick: я ничего не упустил
17:14:53 (00:13:16) (chat)  wlgboy: Nick_TIRONE кинул wlgLuv в kawa_blelele
17:14:54 (00:13:17) (chat)  dezmond774: !wasteland
17:14:54 (00:13:17) (chat)  wlgboy: @dezmond774 вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 40 минут.
17:14:56 (00:13:20) (chat)  Textolite: 1wasteland
17:14:57 (00:13:20) (chat)  wlgboy: @Textolite вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 45 минут.
17:15:03 (00:13:26) (chat)  kozemehu: !wasteland
17:15:03 (00:13:26) (chat)  wlgboy: @kozemehu вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 32 минуты.
17:15:05 (00:13:28) (chat)  Llirikkorty: !inv
17:15:05 (00:13:29) (chat)  wlgboy: @Llirikkorty у вас в инвентаре следующие предметы: 1. [Ухо игрока] 2. [Шулерские кости] 3. [Дневник капитана Максона] 4. [Особое оружие боксёра]. Занято слотов: [4/8]
17:15:06 (00:13:30) (chat)  ba_dick: !time
17:15:12 (00:13:35) (chat)  PriSmerti: куда сегодня приведёт дорога Сэма wlgGillette
17:15:14 (00:13:37) (chat)  ninnao_0: !inv
17:15:14 (00:13:38) (chat)  wlgboy: @ninnao_0 у вас в инвентаре следующие предметы: 1. [Самоучитель йоги «В рот мне ноги»] 2. [Закаленная силовая броня] 3. [Чип от экскаватора]. Занято слотов: [3/7]
17:15:16 (00:13:40) (chat)  LionSPb: !up
17:15:18 (00:13:41) (chat)  kozemehu: фигаси
17:15:21 (00:13:44) (chat)  kozemehu: вот эт трек)
17:15:23 (00:13:46) (chat)  Do4ka1: DrinkPurple BabyRage
17:15:25 (00:13:49) (chat)  Grin01: !inv
17:15:26 (00:13:49) (chat)  wlgboy: @Grin01 у вас в инвентаре следующие предметы: 1. [Фазер] 2. [Ящик Рамиреса] 3. [Книга советов Fallout II] 4. [Бесплатная подписка] 5. [Шариковый кляп]. Занято слотов: [5/7]
17:15:28 (00:13:51) (chat)  Takeshi13: wlg5 wlgHype Всем привет @welovegames
17:15:29 (00:13:53) (chat)  bobuika: wlgDance wlgDance wlgDance
17:15:32 (00:13:55) (chat)  Grin01: 1wasteland
17:15:32 (00:13:56) (chat)  wlgboy: @Grin01 вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 45 минут.
17:15:33 (00:13:56) (chat)  Llirikkorty: !wasteland
17:15:33 (00:13:56) (chat)  wlgboy: @Llirikkorty вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 51 минуту.
17:15:34 (00:13:57) (chat)  LionSPb: @takeshi13 привет wlg5 wlgOralb
17:15:34 (00:13:57) (chat)  ba_dick: @prismerti вввввв эльдоран
17:15:35 (00:13:58) (chat)  Nick_TIRONE: @Takeshi13 wlg5 wlg5 wlg5
17:15:35 (00:13:59) (chat)  kozemehu: DogePls wlgLuv wlgLuv wlgLuv wlgLuv wlgDance wlgDance wlgDance wlgDance wlgDance
17:15:36 (00:13:59) (chat)  elnar88: !throw wlgNade @WELOVEGAMES
17:15:36 (00:14:00) (chat)  Takeshi13: !up
17:15:37 (00:14:01) (chat)  wlgboy: @elnar88 кидает гранату в @WELOVEGAMES, но тот прячется за @happyz03
17:15:39 (00:14:02) (chat)  Nick_TIRONE: wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance
17:15:39 (00:14:03) (chat)  dezmond774: чат, чет бот время не показывает. стрим начался или закончился?
17:15:40 (00:14:03) (chat)  PriSmerti: @takeshi13 wlg5
17:15:43 (00:14:07) (chat)  bobuika: @takeshi13 такеши! igorVjuh wlgMug
17:15:44 (00:14:07) (chat)  Refokkusu: !throw wlgNade @WELOVEGAMES
17:15:45 (00:14:08) (chat)  wlgboy: @Refokkusu кидает гранату в @WELOVEGAMES, но тот прячется за @dzelumonster
17:15:46 (00:14:10) (chat)  ninnao_0: !wasteland
17:15:47 (00:14:10) (chat)  wlgboy: @ninnao_0 вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 52 минуты.
17:15:47 (00:14:11) (chat)  ChlamydiaEvgrafovna: @Takeshi13 Хай wlgHype wlgCheers wlgGillette wlgPizza
17:15:49 (00:14:12) (chat)  kozemehu: DogePls
17:15:52 (00:14:15) (chat)  Grin01: Всем привет! wlg5 wlg5 wlg5 wlgPled wlgPled wlgPled
17:15:52 (00:14:16) (chat)  bobuika: @dezmond774 начался
17:15:53 (00:14:16) (chat)  kozemehu: DogePls DogePls DogePls DogePls DogePls DogePls DogePls DogePls DogePls
17:15:54 (00:14:18) (chat)  LionSPb: !uptime
17:15:55 (00:14:18) (chat)  Takeshi13: @lionspb @nick_tirone @prismerti wlgHype
17:15:58 (00:14:21) (chat)  Nick_TIRONE: romanovaJiga CurseLit wlgBoom romanovaJiga CurseLit wlgBoom romanovaJiga CurseLit wlgBoom romanovaJiga CurseLit wlgBoom romanovaJiga CurseLit wlgBoom romanovaJiga CurseLit wlgBoom romanovaJiga CurseLit wlgBoom
17:15:58 (00:14:21) (chat)  Mutabor_Shooter: billyReady
17:15:58 (00:14:21) (chat)  ServiceNomaD: hwasteland
17:15:58 (00:14:22) (chat)  wlgboy: @ServiceNomaD вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 58 минут.
17:15:59 (00:14:22) (chat)  Do4ka1: @dezmond774 начался
17:16:00 (00:14:23) (chat)  Reo_Rus: karterDaance karterDaance maniaDance maniaDance wlgDance wlgDance
17:16:02 (00:14:25) (chat)  GlebBio: Огого, ни свет ни заря, а Денис уже весь в работе. Привет красивые люди wlgMug wlgFlowers wlgMug wlgFlowers wlgMug wlgFlowers wlgMug wlgFlowers
17:16:02 (00:14:26) (chat)  bobuika: wlgDance wlgHype wlgDance wlgHype wlgDance wlgHype wlgDance
17:16:03 (00:14:26) (chat)  LionSPb: @grin01 привет wlg5 wlgOralb
17:16:03 (00:14:26) (chat)  kozemehu: DogePls wlgHype wlgDance DogePls wlgHype wlgDance DogePls wlgHype wlgDance DogePls wlgHype wlgDance DogePls wlgHype wlgDance DogePls wlgHype wlgDance DogePls wlgHype wlgDance
17:16:06 (00:14:29) (chat)  Takeshi13: @bobuika @chlamydiaevgrafovna wlgHype wlgFlowers wlgFlowers
17:16:09 (00:14:33) (chat)  ServiceNomaD: wlgDance wlgDance wlgDance wlgDance wlgHype wlgHype wlgHype wlgDance wlgThumb wlgDen
17:16:10 (00:14:33) (chat)  LionSPb: @glebbio здравствуй wlg5 wlgOralb
17:16:12 (00:14:36) (chat)  RinaRuina: !throw wlgNade @Takeshi13
17:16:13 (00:14:36) (chat)  wlgboy: @RinaRuina вы не можете это сделать, пока находитесь в пустоши.
17:16:14 (00:14:37) (chat)  GlebBio: !wasteland
17:16:14 (00:14:38) (chat)  wlgboy: @GlebBio вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 40 минут.
17:16:16 (00:14:39) (chat)  Nick_TIRONE: romanovaJiga CurseLit wlgBoom romanovaJiga CurseLit wlgBoom romanovaJiga CurseLit wlgBoom romanovaJiga CurseLit wlgBoom romanovaJiga CurseLit wlgBoom romanovaJiga CurseLit wlgBoom
17:16:20 (00:14:43) (chat)  Refokkusu: !throw wlgNade @WELOVEGAMES
17:16:21 (00:14:44) (chat)  wlgboy: @Refokkusu кидает гранату в @WELOVEGAMES, но тот прячется за @velhope
17:16:22 (00:14:45) (chat)  Nick_TIRONE: @glebbio, приветь
17:16:25 (00:14:48) (chat)  kawa_blelele: Адам wlgLuv
17:16:27 (00:14:50) (chat)  Takeshi13: @rinaruina wlgBored wlgFlowers
17:16:28 (00:14:51) (chat)  ChlamydiaEvgrafovna: wlgFire wlgFire wlgFire wlgDance wlgDance wlgDance
17:16:29 (00:14:52) (chat)  GlebBio: @lionspb @takeshi13 @kozemehu wlgLuck wlgFlowers wlgLuck p
17:16:37 (00:15:00) (chat)  ninnao_0: а во сколько там начало то?
17:16:38 (00:15:01) (chat)  Takeshi13: @glebbio привет
17:16:40 (00:15:03) (chat)  GlebBio: @nick_tirone
17:16:46 (00:15:09) (chat)  zerotustra: @PriSmerti @LionSPb @Nick_TIRONE @ninnao_0 @ChlamydiaEvgrafovna wlg5 bjornLapa
17:16:48 (00:15:11) (chat)  RinaRuina: @Takeshi13 хотела приветственный залп гранатой сделать, но из пустоши не докину
17:16:51 (00:15:15) (chat)  ChlamydiaEvgrafovna: @ninnao_0 вот-вот
17:16:54 (00:15:17) (chat)  GlebBio: @nick_tirone wlgMug wlgMug wlgMug wlgMug
17:16:56 (00:15:19) (chat)  Nick_TIRONE: !throw @kawa_blelele @kawa_blelele
17:16:57 (00:15:21) (chat)  wlgboy: Nick_TIRONE кинул kawa_blelele в kawa_blelele
17:17:04 (00:15:27) (chat)  Swoxar: Swoxar subscribed with Twitch Prime. They've subscribed for 4 months, currently on a 1 month streak! 
17:17:04 (00:15:27) (chat)  wlgboy: @Swoxar вы успешно прошли проверку на гражданство Убежища. Вам выдано 2000 крышечек и 2 слота в инвентаре.
17:17:07 (00:15:30) (chat)  LionSPb: wlg5 wlg5 wlg5 wlg5
17:17:07 (00:15:31) (chat)  Refokkusu: !throw wlgNade @WELOVEGAMES
17:17:08 (00:15:31) (chat)  ninnao_0: @ChlamydiaEvgrafovna Тык Тык VoHiYo
17:17:09 (00:15:32) (chat)  wlgboy: @Refokkusu кидает гранату в @WELOVEGAMES, но тот прячется за @g1hardstuck
17:17:10 (00:15:33) (chat)  Nick_TIRONE: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
17:17:11 (00:15:34) (chat)  Takeshi13: @rinaruina wlgPled уютный взрыв как мило
17:17:11 (00:15:34) (chat)  ChlamydiaEvgrafovna: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
17:17:15 (00:15:38) (chat)  wlgboy: @RinaRuina вы вернулись из пустоши - залог возвращен. Вы обнаружили редкий сундучок с 71 крышечкой. Теперь на вашем балансе 1495 крышечек.
17:17:16 (00:15:39) (chat)  Takeshi13: wlg5 wlg5 wlg5 wlg5
17:17:21 (00:15:44) (chat)  Takeshi13: Kappa
