03:33:55 (00:00:00) (comm)  S1mplerV: !гз
20:36:14 (00:04:21) (chat)  KOP0BKA: TwitchUnity
20:36:14 (00:04:21) (chat)  dilvot: blobDance blobDance blobDance blobDance blobDance blobDance blobDance blobDance
20:36:17 (00:04:24) (chat)  KURT_KD: @vlissa_jin привеееет wlg5 wlgMug wlgPled wlgLuv
20:36:21 (00:04:28) (chat)  Vlissa_jin: Всем хорошего вечера ребята wlgPled wlgLuv
20:36:24 (00:04:31) (chat)  Nicothin: mcaT mcaT
20:36:33 (00:04:40) (chat)  Dimka90: @Vlissa_jin wlg5 wlgPled wlgMug
20:36:33 (00:04:41) (chat)  Elankan: HeyGuys <3
20:36:34 (00:04:41) (chat)  KURT_KD: @emoblaze wlgPled wlgPled wlg5
20:36:35 (00:04:42) (chat)  dilvot: @Vlissa_jin bjornPled
20:36:42 (00:04:49) (chat)  YouTuchMyTalala: Привет всем wlgF wlg5 wlg5 wlgF
20:36:44 (00:04:51) (chat)  Mutabor_Shooter: wlgPled
20:36:49 (00:04:56) (chat)  Vlissa_jin: @kurt_kd @dilvot @dimka90 wlgLuv wlgMug
20:36:50 (00:04:57) (chat)  EMOBLAZE: @KURT_KD wlg5 wlgPled wlgLuv
20:36:53 (00:05:01) (chat)  KURT_KD: @youtuchmytalala wlg5 wlg5 wlg5 wlgF
20:36:56 (00:05:03) (chat)  Nicothin: wlgPled wlgLuv
20:37:06 (00:05:14) (chat)  dilvot: bjornGasm bjornGasm bjornGasm
20:37:16 (00:05:23) (chat)  Vlissa_jin: wlgLuv wlgLuv wlgLuv wlgLuv
20:37:24 (00:05:32) (chat)  Nicothin: !caps
20:37:25 (00:05:32) (chat)  wlgboy: @Nicothin ваш баланс составляет 91 крышечка.
20:37:27 (00:05:34) (chat)  KURT_KD: wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance
20:37:29 (00:05:36) (chat)  bobuika: здравствуйте, уважаемые wlgPled wlgPled wlgPled
20:37:29 (00:05:36) (chat)  Nicothin: (
20:37:33 (00:05:40) (chat)  lemnian: !caps
20:37:35 (00:05:42) (chat)  wlgboy: переподключился к центральному компьютеру Убежища.
20:37:36 (00:05:43) (chat)  Nicothin: !inv
20:37:36 (00:05:43) (chat)  wlgboy: @Nicothin у вас в инвентаре следующие предметы: 1. [Докторский чемоданчик]. Занято слотов: [1/1]
20:37:38 (00:05:45) (chat)  Mutabor_Shooter: PepePls
20:37:41 (00:05:48) (chat)  EMOBLAZE: !WASTELAND
20:37:44 (00:05:52) (chat)  EMOBLAZE: !wasteland
20:37:44 (00:05:52) (chat)  YanYanYan228: привет, когда начало:
20:37:45 (00:05:52) (chat)  wlgboy: @EMOBLAZE вы уже находитесь в пустоши. Времени до возвращения: 13 минут.
20:37:49 (00:05:56) (chat)  KURT_KD: @bobuika wlg5 wlgDance wlgF wlgMug
20:37:51 (00:05:58) (chat)  ivan_roflan: Это повтор? Или только начали?
20:37:51 (00:05:59) (chat)  Nicothin: !inv drop 1
20:37:52 (00:05:59) (chat)  wlgboy: @Nicothin предмет [Докторский чемоданчик] изъят из вашего инвентаря.
20:37:57 (00:06:04) (chat)  kamikadzushka: !wasteland
20:37:57 (00:06:05) (chat)  wlgboy: @kamikadzushka вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 54 минуты.
20:37:58 (00:06:06) (chat)  Real_Artful: начало
20:38:01 (00:06:08) (chat)  Nicothin: !wasteland
20:38:01 (00:06:09) (chat)  wlgboy: @Nicothin вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 35 минут.
20:38:02 (00:06:09) (chat)  lemnian: !inv
20:38:03 (00:06:10) (chat)  EDIIS: ура, террария!
20:38:03 (00:06:11) (chat)  wlgboy: переподключился к центральному компьютеру Убежища.
20:38:04 (00:06:11) (chat)  dac0n1: ЕЕеееее 12 часов контентааа
20:38:06 (00:06:14) (chat)  DrKringge: !wasteland
20:38:07 (00:06:14) (chat)  wlgboy: @DrKringge у вас недостаточно крышек для выхода в пустошь. Необходимо 15
20:38:08 (00:06:15) (chat)  Barnaley: wlg5 wlg5 wlg5 wlg5 wlg5
20:38:11 (00:06:18) (chat)  bobuika: @kurt_kd wlgF
20:38:11 (00:06:19) (chat)  hvatman: всем привет!! wlg5 wlg5 wlg5
20:38:14 (00:06:21) (chat)  Curly_lolliPoP: @WELOVEGAMES https://clips.twitch.tv/GlutenFreeInnocentApplePupper
20:38:15 (00:06:22) (chat)  dac0n1: Доброе утро Денис, выживи пожалуйста <3
20:38:17 (00:06:24) (chat)  Joker_Smith: !wasteland
20:38:17 (00:06:24) (chat)  wlgboy: @Joker_Smith вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 31 минуту.
20:38:22 (00:06:30) (chat)  KURT_KD: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
20:38:24 (00:06:31) (chat)  ivan_roflan: !wasteland
20:38:24 (00:06:32) (chat)  wlgboy: @ivan_roflan вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 39 минут.
20:38:30 (00:06:38) (chat)  COK_: чатик привет wlg5 wlg5 wlg5 всем лампового вечера wlgPled wlgCorn wlgPled wlgCorn wlgPled wlgCorn
20:38:35 (00:06:42) (chat)  Barnaley: !wasteland
20:38:35 (00:06:43) (chat)  wlgboy: @Barnaley вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 41 минуту.
20:38:36 (00:06:43) (chat)  DrKringge: !caps
20:38:36 (00:06:43) (chat)  wlgboy: @DrKringge у вас не осталось крышечек. Поздравляем, вы – банкрот!
20:38:36 (00:06:44) (chat)  KURT_KD: @welovegames wlg5 wlg5 wlg5 wlg5 wlgF wlgF wlgF wlgF wlgMug
20:38:46 (00:06:53) (chat)  ivan_roflan: Ушёл гулять. Потом расскажете чё было))
20:38:47 (00:06:55) (chat)  DrKringge: etmBrewmaster
20:38:48 (00:06:56) (chat)  KURT_KD: @cok_ wlg5 wlgF wlgPeka
20:38:58 (00:07:05) (chat)  genepu1: Сегодня терария, завтра будет майнкрафт?
20:39:01 (00:07:08) (chat)  jaggaman: !gay
20:39:02 (00:07:10) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
20:39:06 (00:07:14) (chat)  dac0n1: @WELOVEGAMES если ещё читаешь чат, очень советую после первого прохождения дождаться обновы и потом пройти ещё раз на эксперте. Будут совершенно другие ощущения и игра заиграет новыми красками
20:39:09 (00:07:17) (chat)  YanYanYan228: !wasteland
20:39:10 (00:07:17) (chat)  Joker_Smith: !caps
20:39:10 (00:07:17) (chat)  balkon_one: еей бойссс Тёрочка
20:39:10 (00:07:17) (chat)  wlgboy: @Joker_Smith вы не можете это сделать, пока находитесь в пустоши.
20:39:12 (00:07:19) (chat)  Nicothin: MrDestructoid
20:39:18 (00:07:25) (chat)  balkon_one: привет чат, привет Денис
20:39:18 (00:07:25) (chat)  hvatman: wlgPled wlgPled wlgCorn
20:39:26 (00:07:33) (chat)  Samray_n1: хааай
20:39:27 (00:07:34) (chat)  KURT_KD: wlgDance wlgDance wlgDance wlgDance wlgDance wlgDance
20:39:28 (00:07:35) (chat)  YanYanYan228: !caps
20:39:33 (00:07:41) (chat)  DrKringge: !passport
20:39:34 (00:07:41) (chat)  wlgboy: @DrKringge вы успешно прошли проверку на гражданство Убежища. Вам выдано 500 крышечек и 1 слот в инвентаре.
20:39:42 (00:07:50) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
20:39:44 (00:07:51) (chat)  Ritari90: PunchTrees PunchTrees PunchTrees
20:39:45 (00:07:52) (chat)  bobuika: wlgAsm wlgAsm wlgAsm wlgAsm
20:39:47 (00:07:54) (chat)  DrKringge: !wasteland
20:39:47 (00:07:54) (chat)  wlgboy: @DrKringge вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 52 минуты.
20:39:51 (00:07:58) (chat)  dilvot: bjornGasm bjornGasm bjornGasm bjornGasm
20:39:51 (00:07:58) (chat)  Skipper_Nemo: !passport
20:39:53 (00:08:00) (chat)  wlgboy: переподключился к центральному компьютеру Убежища.
20:39:58 (00:08:05) (chat)  KURT_KD: !passport
20:39:58 (00:08:05) (chat)  Nicothin: @WELOVEGAMES wlg5 wlgHype
20:40:00 (00:08:07) (chat)  bobuika: сегодня опять без чата?
20:40:01 (00:08:09) (chat)  Joker_Smith: Продолжает отбирать у Бэйла монеты LUL
20:40:01 (00:08:09) (chat)  Ritari90: !wasteland
20:40:02 (00:08:10) (chat)  fertonok: FeelsTastyMan
03:24:09 (00:08:11) (comm)  Vahapet: !wasteland
20:40:12 (00:08:19) (chat)  fertonok: !wasteland
20:40:12 (00:08:19) (chat)  wlgboy: @fertonok вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 56 минут.
20:40:19 (00:08:26) (chat)  dac0n1: @bobuika меня устраивает, почти летсплей LUL
20:40:20 (00:08:28) (chat)  KURT_KD: wlgSad wlgSad wlgSad
20:40:28 (00:08:35) (chat)  Nicothin: @bobuika, LUL wlg5
20:40:29 (00:08:36) (chat)  KURT_KD: !passport
20:40:29 (00:08:36) (chat)  bobuika: @dac0n1 воистину
20:40:40 (00:08:48) (chat)  OnoKhigashi: RareW RareW RareW RareW RareW RareW
20:40:41 (00:08:48) (chat)  bobuika: @nicothin wlgF wlg5
20:40:41 (00:08:48) (chat)  Joker_Smith: Нифига себе покопали
20:40:46 (00:08:53) (chat)  Samray_n1: они ночью все же убили скелетрона?
20:40:51 (00:08:58) (chat)  abra87: музыка не соответствует картинке
20:40:51 (00:08:58) (chat)  a1ex642: ✌
20:40:59 (00:09:07) (chat)  fertonok: @WELOVEGAMES wlgOralb wlg5 wlgLuv
20:41:01 (00:09:08) (chat)  EDIIS: @Samray_n1 да
20:41:06 (00:09:13) (chat)  izummonster: Во маньяки! Старбаунд. с таким рвением. запарятся проходить! XD
20:41:07 (00:09:14) (chat)  Samray_n1: сяб
20:41:13 (00:09:21) (chat)  KURT_KD: @fertonok wlg5 wlgF wlgMug wlgPled
20:41:14 (00:09:21) (chat)  fertonok: чатик кусь wlgPled
20:41:23 (00:09:31) (chat)  OnoKhigashi: karmikT А где стример ?, почему компьютер управляет игрой ? Kappa
20:41:27 (00:09:34) (chat)  dilvot: @fertonok Привет bjornPled
20:41:33 (00:09:41) (chat)  izummonster: @fertonok Ай! Больно же!
20:41:40 (00:09:47) (chat)  EMOBLAZE: wlg5 wlg5 wlg5 wlg5 wlg5 wlgHype wlgHype wlgHype wlgHype
20:41:42 (00:09:49) (chat)  KURT_KD: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
20:41:44 (00:09:51) (chat)  DrKringge: wlg5
20:41:45 (00:09:52) (chat)  lemnian: @WELOVEGAMES в настройках можно сделать обводку у курсора, его так лучше видно будет wlgLuv
20:41:46 (00:09:53) (chat)  hvatman: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
20:41:47 (00:09:54) (chat)  wlgboy: переподключился к центральному компьютеру Убежища.
20:41:47 (00:09:54) (chat)  dilvot: bjornLapa bjornLapa bjornLapa bjornLapa bjornLapa bjornLapa
20:41:47 (00:09:54) (chat)  dac0n1: @izummonster старбаунд на мой взгляд скучнее в кооперативе, т. к. он вообще не требует кооперации и в итоге каждый будет соло копать на своей планете
20:41:47 (00:09:54) (chat)  al_yatashir: wlgF wlgF wlgF
20:41:47 (00:09:55) (chat)  Nicothin: wlg5 wlg5 wlg5 wlg5
20:41:48 (00:09:55) (chat)  AlexFAS29: Добрый день wlg5 wlg5 wlg5 wlgFlowers wlgFlowers wlgMug wlgMug
20:41:50 (00:09:57) (chat)  EDIIS: ура, нормальный музон )
20:41:50 (00:09:57) (chat)  Dimka90: wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
20:41:51 (00:09:58) (chat)  PriSmerti: wlg5 wlg5 wlg5
20:41:52 (00:10:00) (chat)  gatarelub: обнимает @fertonok
20:41:54 (00:10:01) (chat)  KURT_KD: wlgF wlgF wlgF wlgF wlgF wlgF wlgF wlgF wlgF wlgF
20:41:54 (00:10:01) (chat)  gYGanbi: wlg5 wlg5 wlg5 wlg5
20:41:56 (00:10:03) (chat)  mirnoiatom: wlg5 wlg5 wlg5 wlg5
20:42:00 (00:10:08) (chat)  DrKringge: это запись кста или нет?
20:42:01 (00:10:08) (chat)  abesolon: Здраствуй! @WELOVEGAMES
20:42:02 (00:10:09) (chat)  OnoKhigashi: @WELOVEGAMES karmik1 karmikFat karmik2 Здарова уважаемый красивый мальчик
20:42:05 (00:10:13) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
20:42:06 (00:10:13) (chat)  Alik_savi: @WELOVEGAMES wlg5 wlg5 wlg5
20:42:08 (00:10:16) (chat)  Zlodji: wlg5 wlg5 wlg5
20:42:09 (00:10:16) (chat)  Ansaboff: !wasteland
20:42:09 (00:10:17) (chat)  wlgboy: @ansaboff вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 31 минуту.
20:42:11 (00:10:18) (chat)  dilvot: bjornBegee
20:42:12 (00:10:19) (chat)  EDIIS: @DrKringge уже нет
20:42:16 (00:10:23) (chat)  izummonster: @dac0n1 не исключено. Но скооперироваться таки можно :)
20:42:18 (00:10:25) (chat)  Titan_DV: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
20:42:20 (00:10:28) (chat)  Zlodji: !wasteland
20:42:21 (00:10:28) (chat)  wlgboy: @Zlodji вы ушли в пустошь, оставив залог в 15 крышечек. Возвращение через 35 минут.
20:42:31 (00:10:39) (chat)  DrKringge: @ediis, ок LUL
20:42:33 (00:10:40) (chat)  Real_Artful: @WELOVEGAMES добрый вечер! не переиграйте
20:42:35 (00:10:42) (chat)  KURT_KD: wlgPeka wlgPeka wlgPeka
20:42:35 (00:10:42) (chat)  fertonok: @DrKringge запись
20:42:36 (00:10:43) (chat)  Mrs_Christ: Дратути
20:42:37 (00:10:44) (chat)  Samray_n1: MingLee MingLee MingLee
20:42:44 (00:10:52) (chat)  runx: wlg5 wlg5 wlg5
20:42:44 (00:10:52) (chat)  Mrs_Christ: Это запись?
20:42:45 (00:10:52) (chat)  DrKringge: @fertonok, я так и думал!
20:42:45 (00:10:52) (chat)  fertonok: @Mrs_Christ wlgLuv
20:42:47 (00:10:55) (chat)  Nicothin: @mrs_christ, wlg5 wlg5 wlg5
20:42:50 (00:10:58) (chat)  KURT_KD: @mrs_christ wlg5 wlgMug wlgPled wlgLuv
20:42:55 (00:11:02) (chat)  AinoSanya: всем доброго вечера wlgLuv
20:42:56 (00:11:04) (chat)  EDIIS: @Mrs_Christ нет
20:42:57 (00:11:04) (chat)  fertonok: @Mrs_Christ да
20:42:58 (00:11:05) (chat)  EMOBLAZE: Запись
20:43:04 (00:11:11) (chat)  fertonok: Kappa
20:43:09 (00:11:16) (chat)  EMOBLAZE: MiniK
20:43:10 (00:11:18) (chat)  AlexFAS29: Кати не стримит
20:43:12 (00:11:20) (chat)  dilvot: @Mrs_Christ @AinoSanya Привет bjornPled
20:43:12 (00:11:20) (chat)  gatarelub: чего Крист троллите???
20:43:15 (00:11:23) (chat)  abesolon: @WELOVEGAMES Что с голосом?!?!?!
20:43:21 (00:11:28) (chat)  YouTopBro: вау как здорово Kappa
20:43:24 (00:11:31) (chat)  Mrs_Christ: @fertonok @Nicothin @KURT_KD @EDIIS @dilvot wlgLuv wlgLuv
20:43:24 (00:11:32) (chat)  Slimoff: wlg5 всем привет!)
20:43:26 (00:11:33) (chat)  Mr_Maloii: ResidentSleeper ResidentSleeper
20:43:27 (00:11:34) (chat)  toha_white: второй день
20:43:29 (00:11:37) (chat)  mirnoiatom: wlg5 wlg5 wlg5
20:43:32 (00:11:40) (chat)  fertonok: @slimoff, привет)
20:43:37 (00:11:45) (chat)  Mrs_Christ: @gatarelub Та я сама рофлю
20:43:37 (00:11:45) (chat)  COK_: @WELOVEGAMES Денис привет, залипательные стримы по этой игре, идеально смотреть в дороге, спасибо wlgF
20:43:39 (00:11:46) (chat)  KURT_KD: кто Крист тролит ? wlgPeka
20:43:44 (00:11:52) (chat)  dilvot: bjornD
20:43:46 (00:11:53) (chat)  DrKringge: чсв стримлер ясно
20:43:46 (00:11:53) (chat)  Mutabor_Shooter: @Mrs_Christ wlg5 wlgFlowers wlgFlowers wlgFlowers
20:43:46 (00:11:54) (chat)  bobuika: wlgAsm балдеж
20:43:47 (00:11:54) (chat)  YouTopBro: D:
20:43:47 (00:11:55) (chat)  Mrs_Christ: Кто троллит Крист?
20:43:48 (00:11:55) (chat)  RainGaRO: ну всё ясно
20:43:50 (00:11:57) (chat)  shamik595: HeyGuys
20:43:51 (00:11:59) (chat)  YokoLi33ner: Денисик писюн
20:43:56 (00:12:03) (chat)  AlexFAS29: @WELOVEGAMES приятной игры wlgPled
20:43:56 (00:12:04) (chat)  Mrs_Christ: @Mutabor_Shooter wlgLuv
20:43:57 (00:12:04) (chat)  Zlodji: wlgSad ну ясн
20:43:59 (00:12:06) (chat)  RainGaRO: чсв Kappa
20:44:00 (00:12:07) (chat)  toha_white: эх
20:44:01 (00:12:08) (chat)  Nicothin: wlgCorn
20:44:02 (00:12:10) (chat)  ghost_time__: D:
20:44:03 (00:12:10) (chat)  DokerStim: @Mrs_Christ wlgPled wlgFlowers wlgLuv
20:44:04 (00:12:12) (chat)  fertonok: @Mrs_Christ ансабы
20:44:05 (00:12:13) (chat)  wlgboy: скидка до 20% на продукцию ASUS. Приятных покупок с промокодом WLG по ссылке: https://vk.cc/9ivAk7
20:44:10 (00:12:17) (chat)  KURT_KD: чсв чтоле wlgPeka
20:44:14 (00:12:21) (chat)  Mrs_Christ: @DokerStim wlgLuv
20:44:14 (00:12:21) (chat)  toha_white: как много игр хороших
20:44:18 (00:12:25) (chat)  fertonok: !vk
20:44:18 (00:12:26) (chat)  Nightbot: Наша группа Вконтакте: vk.com/welovegames
20:44:19 (00:12:27) (chat)  Nicothin: wlgF wlgRip
20:44:23 (00:12:30) (chat)  fertonok: !disc
20:44:23 (00:12:31) (chat)  Nightbot: Наш dicsord канал > http://discord.gg/welovegames
20:44:24 (00:12:31) (chat)  palladium_tv: Привет @WELOVEGAMES привет чатик!!! wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5 wlg5
20:44:24 (00:12:31) (chat)  ULItochka_Games: а предыдущая запись только для подписоты?
20:44:28 (00:12:36) (chat)  toha_white: но мы играем в терарию
20:44:29 (00:12:36) (chat)  KURT_KD: угрозы wlgWow wlgWow wlgWow wlgPeka
20:44:31 (00:12:38) (chat)  iiiKyro: iiiKyro subscribed at Tier 1. They've subscribed for 14 months! Добрый вечер Хранитель, уютного вечера wlg5 wlgPled
20:44:31 (00:12:39) (chat)  Mrs_Christ: Я уже почти отписалась
20:44:32 (00:12:39) (chat)  MAF1990: :D Kappa :D
20:44:35 (00:12:42) (chat)  AlexFAS29: OMEGAROLL OMEGAROLL OMEGAROLL
20:44:35 (00:12:42) (chat)  KURT_KD: wlg5 wlg5 wlg5 wlg5
20:44:36 (00:12:43) (chat)  Mrs_Christ: wlg5 wlg5 wlg5
20:44:36 (00:12:44) (chat)  fertonok: wlg5 wlg5 wlg5
20:44:37 (00:12:44) (chat)  FireFly_Serenity: igorPeka igorPeka igorPeka
20:44:38 (00:12:46) (chat)  polyahavava: Удачного стрима
20:44:39 (00:12:46) (chat)  ElronSmith: а че вчера не стримил ? Kappa
20:44:39 (00:12:46) (chat)  Dimka90: wlg5 wlg5 wlg5
20:44:39 (00:12:47) (chat)  COK_: wlg5 wlg5 wlg5 wlg5 wlg5
20:44:40 (00:12:47) (chat)  Mutabor_Shooter: wlg5 wlg5 wlg5 wlg5 wlg5
20:44:40 (00:12:48) (chat)  EDIIS: раз в 3 часа
20:44:42 (00:12:49) (chat)  runx: wlg5 wlg5 wlg5 wlg5
20:44:43 (00:12:50) (chat)  dilvot: bjornLapa bjornLapa bjornLapa bjornLapa bjornLapa
20:44:44 (00:12:52) (chat)  fertonok: !inst
20:44:45 (00:12:52) (chat)  EMOBLAZE: @WELOVEGAMES Там у Дангара уже 400 хп wlgSad
20:44:45 (00:12:52) (chat)  Nightbot: Ссылка на наш Instagram: instagram.com/welovegamestv
20:44:45 (00:12:53) (chat)  wlgboy: хочешь узнать, когда будет следующий стрим? Подпишись на уведомления посредством личных сообщений ВКонтакте. Это удобно! https://vk.cc/9rSVZA
20:44:48 (00:12:55) (chat)  palladium_tv: wlg5 wlg5 wlg5
20:44:49 (00:12:56) (chat)  Nicothin: @iiikyro, wlg5
20:44:54 (00:13:01) (chat)  bobuika: да го уже wlgDeer я уже чат отключила
20:44:55 (00:13:02) (chat)  SwampDoctor113: @WELOVEGAMES Привет Денчик
20:44:57 (00:13:04) (chat)  Yuqiz: tpKyawawa
20:45:02 (00:13:09) (chat)  KURT_KD: wlgMug wlgMug wlgMug wlgMug wlgMug wlgMug wlgMug wlgMug
20:45:06 (00:13:14) (chat)  bobuika: луркуем wlgAsm wlgAsm wlgAsm
20:45:09 (00:13:16) (chat)  cjladkaya_cojlb: Опа, это я во время заскочил! Всем привет)
20:45:09 (00:13:17) (chat)  KOP0BKA: bleedPurple
20:45:12 (00:13:20) (chat)  GlebBio: @welovegames привет ) подписка 201 рубль стоит) сегодня на милана подписывался))
20:45:16 (00:13:23) (chat)  toha_white: а выпью за тебя влг
20:45:16 (00:13:23) (chat)  GlebBio: Привет чат ))))
20:45:18 (00:13:25) (chat)  EDIIS: эгоист на Дангаре
20:45:23 (00:13:30) (chat)  YokoLi33ner: а вот тут ты врешь
20:45:25 (00:13:32) (chat)  KURT_KD: @glebbio wlg5
20:45:25 (00:13:33) (chat)  wlgboy: ВНИМАНИЕ! До конца сентября скидка 50% на подписку и переподписку! Порадуй стримера и себя! Kappa //
20:45:26 (00:13:34) (chat)  bONNSilver: @WELOVEGAMES хотим токсичности Kappa
20:45:27 (00:13:34) (chat)  Zlodji: @romes_1986 LUL LUL LUL
20:45:31 (00:13:39) (chat)  Mrs_Christ: @romes_1986 Мыне материмся и никого не оскорбляем
20:45:34 (00:13:41) (chat)  GilyovDmitrij: @WELOVEGAMES terraria или starbound?
20:45:35 (00:13:42) (chat)  YokoLi33ner: больше токсичности
20:45:38 (00:13:45) (chat)  Mutabor_Shooter: @GlebBio wlg5 wlgPled
20:45:47 (00:13:55) (chat)  ElronSmith: Kappa
