18:37:48 (00:00:06) (chat)  Kate_Rey: алло?
18:43:13 (00:05:32) (chat)  Kate_Rey: если через полгода начать игру, на карте будет куча построек? artgam2Iq20 artgam2Iq20
18:43:21 (00:05:39) (chat)  coala_MONSTER: @temnayachashkapetri тогда надо рассказать всем! Код тебе поставят, Тема поблагодарит
18:43:28 (00:05:47) (chat)  Almost_dead_Anatoliy_13: @Kate_Rey ну я просто хотел узнать рамки, что б не было недоразумений ))
18:43:35 (00:05:53) (chat)  EnJiL: @kate_rey, врятле кроссплатфома будет
18:43:35 (00:05:53) (chat)  Airwaterfireearth: Аптип строит мосты PepePls
18:43:42 (00:06:00) (chat)  TemnayaChashkaPetrI: @coala_monster , ну-ка?
18:43:55 (00:06:13) (chat)  Andjey_Kharkov: Я думаю, что через некоторые время они сами разрушаются,типа темпоральный дождь же и так далее
18:44:00 (00:06:19) (chat)  aaabugs: дождь все рушит со временем
18:44:04 (00:06:22) (chat)  Kate_Rey: понял принял
18:44:11 (00:06:29) (chat)  Almost_dead_Anatoliy_13: @ArtGamesLP это как в анекдоте, но он про политиков, так что не расскажу
18:44:19 (00:06:37) (chat)  vnikopol: подними клиренс
18:44:22 (00:06:40) (chat)  coala_MONSTER: @temnayachashkapetri что ну-ка, пишешь Теме, "я подписался", а там всё само оно пойдет, вот козы artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
18:44:27 (00:06:45) (chat)  ifrit_n12: такой большой кузов, а грузы не берет
18:44:52 (00:07:10) (chat)  9_enot_you_not: бахаем мост
18:44:56 (00:07:14) (chat)  trom6one: я до стрима досматривал запись вчерашнюю и чет провтыкал, а когда тачку дали ? LUL
18:44:59 (00:07:17) (chat)  aaabugs: размер кузова
18:45:02 (00:07:21) (chat)  vnikopol: можно поднять клиренс вроде
18:45:06 (00:07:24) (chat)  alice_morietur: Кажется опоздала. Всем приветики, солнышки!
18:45:07 (00:07:25) (chat)  Nightbot: Дорогой зритель, ты можешь поддержать стримера по этой ссылочке, спасибо. https://donatepay.ru/don/artgames Топ донатер в конце месяца может выбрать игру для стрима.
18:45:18 (00:07:37) (chat)  coala_MONSTER: @trom6one мы ее позаимствовали, у МУЛов
18:45:19 (00:07:37) (chat)  1_AkumaShield: Какой у нас уровень DOOM?
18:45:20 (00:07:39) (chat)  aaabugs: размер кузова-это объем, а тут нужна масса
18:45:27 (00:07:46) (chat)  trom6one: LUL
18:45:31 (00:07:49) (chat)  coala_MONSTER: @1_akumashield 2, вроде
18:45:37 (00:07:55) (chat)  TemnayaChashkaPetrI: TemnayaChashkaPetrI subscribed at Tier 1. They've subscribed for 2 months! Значит вот так вот оно работает? Первая собственная подписка на твиче CoolStoryBob
18:45:43 (00:08:02) (chat)  korben___detka: Новый Евро Трак выглядит шикарно LUL
18:45:44 (00:08:02) (chat)  Almost_dead_Anatoliy_13: Это ралли какой-то )
18:45:44 (00:08:03) (chat)  coala_MONSTER: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
18:45:49 (00:08:07) (chat)  EnJiL: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2RAGE artgam2RAGE
18:45:49 (00:08:07) (chat)  korben___detka: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
18:45:49 (00:08:07) (chat)  NiteDunmer: artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns artgam2AGHeavyHorns
18:45:53 (00:08:11) (chat)  mrsinnerman: калькулейтед
18:46:50 (00:09:09) (chat)  TemnayaChashkaPetrI: @artgameslp , таки да... на год пропал... Долгая история, но надо будет к Тане потом залететь
18:46:53 (00:09:11) (chat)  xbi_xbi: пачинили
18:47:16 (00:09:34) (chat)  igorexa19: Благодоря игре кодзимы получил суперспособность спать до 3 дня
18:47:27 (00:09:45) (chat)  deathvades: @TemnayaChashkaPetrI армия?
18:47:28 (00:09:46) (chat)  ganelonn: Тема, а чё со стримом то случилось? @ArtGamesLP
18:47:45 (00:10:04) (chat)  igorexa19: По среди работы KomodoHype
18:47:47 (00:10:05) (chat)  1_AkumaShield: Можно поближе грузовик и сразу оттуда доставку осуществлять в меню доставки
18:48:00 (00:10:18) (chat)  trom6one: с экзоскелетом чет как-то даже скучно стало, ни тебе покачивания с бадуна, ни тебе F c горы LUL
18:48:30 (00:10:48) (chat)  TemnayaChashkaPetrI: @deathvades , не... я благополучно отмазался, типо... Время другому уделялось у меня
18:48:32 (00:10:50) (chat)  igorexa19: Grand Theft Gruzchik
18:48:37 (00:10:55) (chat)  xbi_xbi: семья великих грузчиков LUL
18:48:45 (00:11:03) (chat)  Salvatore_Ursus: Дратути bufaDonAptypo artgam2AGHeavyHorns bufaKojimaGenius
18:48:53 (00:11:11) (chat)  Almost_dead_Anatoliy_13: @ArtGamesLP не, я реалист и понимаю, что мне так высоко не подняться )
18:48:54 (00:11:12) (chat)  mrsinnerman: да вот уже задумываюсь
18:48:54 (00:11:13) (chat)  TemnayaChashkaPetrI: Я на почте почтальоном успел поработать SeemsGood
18:49:30 (00:11:49) (chat)  Almost_dead_Anatoliy_13: @TemnayaChashkaPetrI как эйсвентура ?!)
18:50:06 (00:12:24) (chat)  Nightbot: По моему промокоду ARTGAMES ты получишь бонус до 6500 RUB при первом депозите - http://bit.ly/2Gh0MpU
18:50:07 (00:12:25) (chat)  Salvatore_Ursus: @almost_dead_anatoliy_13, @xbi_xbi artgam2AGHeavyHorns tanyagSirCat
18:50:15 (00:12:34) (chat)  Almost_dead_Anatoliy_13: @Salvatore_Ursus хай )
18:50:26 (00:12:44) (chat)  korben___detka: @salvatore_ursus, привет GivePLZ
18:50:28 (00:12:46) (chat)  Almost_dead_Anatoliy_13: А па руски !?
18:50:38 (00:12:56) (chat)  igorexa19: Машине не имеют пляж или других бичезов? Kappa
18:50:43 (00:13:01) (chat)  Salvatore_Ursus: @korben___detka, artgam2AGHeavyHorns bufaLittleNinya artgam2AGHeavyHorns
18:50:43 (00:13:02) (chat)  TemnayaChashkaPetrI: @artgameslp , пропал на время, но не забывалось то время, что проводил, так что как работать пошёл, так подумал немножко закинуть всякого)
18:50:46 (00:13:04) (chat)  trom6one: @ArtGamesLP будет за тобой ходить робот из бостон дайнемикс нагруженый на 250 кг и бубнить про смерть кожаным мешкам LUL
18:50:52 (00:13:10) (chat)  LiaJill: доброго всем вечера! @ArtGamesLP спасибо за прохождение, очень залипательно, очень нравится. правда никак не могу догнать стримы)) пойду досматривать вчерашнюю запись
18:50:58 (00:13:16) (chat)  gwen_devil: ахах у меня ролик с русской озвучкой параллельно на ютубе прям на этом моменте совпал
18:51:10 (00:13:29) (chat)  ifrit_n12: ну вот и подчинённые появились, совсем начальника стал
18:51:15 (00:13:34) (chat)  igorexa19: Кароче после ядерной войны со скайнетом выгул роботов на пляже запрещен, да? @ArtGamesLP
18:51:17 (00:13:35) (chat)  xbi_xbi: Артём а ты знаешь что в горах есть целые династии доставщиков грузов для альпинистов они называются шерпы...вот так и вы B)
18:51:36 (00:13:54) (chat)  TemnayaChashkaPetrI: @almost_dead_anatoliy_13 , ну... с мыслью об этом конечно, но начальник у меня мать была LUL
18:51:42 (00:14:00) (chat)  coala_MONSTER: LUL LUL
18:51:43 (00:14:01) (chat)  gwen_devil: ура помощник
18:51:45 (00:14:04) (chat)  Salvatore_Ursus: bufaLUL bufaLUL bufaLUL
18:51:46 (00:14:04) (chat)  deathvades: ооо май
18:51:56 (00:14:14) (chat)  Kate_Rey: как мы его назовем? CarlSmile
18:51:57 (00:14:15) (chat)  xJusTin8x: Забавно LUL LUL
18:51:57 (00:14:15) (chat)  jubi_ju: а если на него нападут МУЛы, они его изобьют и тоже ботинки отберут или как?
18:52:01 (00:14:19) (chat)  Leon_TK: MGS4 vibe
18:52:04 (00:14:22) (chat)  xbi_xbi: воу воу секси робот
18:52:11 (00:14:29) (chat)  Salvatore_Ursus: @coala_monster, @kate_rey artgam2AGHeavyHorns bufaGlases artgam2AGHeavyHorns
18:52:28 (00:14:46) (chat)  Kate_Rey: @salvatore_ursus, привет привет
18:52:31 (00:14:49) (chat)  Almost_dead_Anatoliy_13: @TemnayaChashkaPetrI то есть ты возможно единственный кто доставлял посылки целыми ?!))
18:52:34 (00:14:53) (chat)  M0ltar: а можно за ним щас пойти и проследить?
18:52:35 (00:14:54) (chat)  1_AkumaShield: @LiaJill Смотреть запись, когда идёт прямой эфир... Обидно как-то. Что ж, догоняй давай. =)
18:52:42 (00:15:00) (chat)  EnJiL: я подумал что она в свадебном платье artgam2Iq20 LUL
18:52:43 (00:15:01) (chat)  velasiped1: LUL
18:52:47 (00:15:05) (chat)  barfly89: @ArtGamesLP Шерпы - нереальные веса тягают на гору. столы всякие и прочие удобства для богатеньких и простых людей. CoolStoryBob
18:52:52 (00:15:11) (chat)  igorexa19: У нее настоящий ребенок или афроамериканский?
18:53:00 (00:15:19) (chat)  d0ct0rxy: алиэкспресс по-японски и пешком LUL
18:53:19 (00:15:37) (chat)  Almost_dead_Anatoliy_13: @ArtGamesLP я когда с Аллика рубаху заказывал, думал а не придёт ли она рваная ))
18:53:23 (00:15:41) (chat)  jubi_ju: май май
18:53:25 (00:15:43) (chat)  TemnayaChashkaPetrI: @almost_dead_anatoliy_13 , у нас там письма были
18:53:30 (00:15:49) (chat)  korben___detka: Руки на ствол, чат!
18:53:32 (00:15:50) (chat)  aaabugs: Так тут все бессметные или чо? где города и размножение?
18:53:32 (00:15:50) (chat)  d0ct0rxy: CuteDog
18:53:34 (00:15:53) (chat)  Twinky_Winky: billyReady
18:53:37 (00:15:55) (chat)  jubi_ju: покажите нам Миккельсона скорее Kappa
18:53:41 (00:15:59) (chat)  trom6one: ляя, вспомнился "почтальон" с Коснером) классный фильм
18:53:45 (00:16:03) (chat)  igorexa19: POGSLIDER Самое главное в камеру не влезло!
18:53:51 (00:16:09) (chat)  sergeykz: это корпорация после объединения яндекса, глово, убера и алика
18:53:53 (00:16:12) (chat)  xbi_xbi: WutFace старел жоска
18:53:53 (00:16:12) (chat)  tamagotchi991: оу
18:53:54 (00:16:12) (chat)  vnikopol: руки на стол
18:53:54 (00:16:12) (chat)  d0ct0rxy: это сон или воспоминание OHMYGOD
18:53:58 (00:16:16) (chat)  Leon_TK: не ну это кекс
18:53:59 (00:16:17) (chat)  korben___detka: Мадс?
18:54:01 (00:16:20) (chat)  EnJiL: artgam2Slish вали в свой душь!!!
18:54:03 (00:16:22) (chat)  igorexa19: Соседка помыться пришла! monkaS
18:54:05 (00:16:23) (chat)  d0ct0rxy: billyReady
18:54:07 (00:16:26) (chat)  Heropor: Сон во сне?
18:54:08 (00:16:26) (chat)  jubi_ju: Фраджайл клеит его ппц CoolStoryBob CoolStoryBob CoolStoryBob
18:54:11 (00:16:29) (chat)  PaNDaKyPuT: @aaabugs Люди за стенами или под землёй, никто не гуляет
18:54:12 (00:16:30) (chat)  Almost_dead_Anatoliy_13: Надо её спинку потереть ))
18:54:14 (00:16:32) (chat)  Kalitvenic: Kappa FBCatch
18:54:16 (00:16:34) (chat)  deathvades: беспаливный такой
18:54:33 (00:16:52) (chat)  d0ct0rxy: оу май SexyOfficer
18:54:35 (00:16:53) (chat)  Konaken_Skywalker: но у неё ведь старое тело WutFace
18:54:35 (00:16:53) (chat)  Salvatore_Ursus: ахаххахах
18:54:46 (00:17:05) (chat)  jubi_ju: будит, моется в душе, пытается накормить - она точно считает себя женойСэма NotLikeThis
18:54:47 (00:17:05) (chat)  Tanya_MONSTER_Games: я сначала тож подумала "оу май" а потмо вспомнила что она старая NotLikeThis
18:54:48 (00:17:06) (chat)  Almost_dead_Anatoliy_13: @ArtGamesLP просто у неё горячую воду отключили )
18:54:48 (00:17:06) (chat)  TemnayaChashkaPetrI: А может они спят вместе? Kappa
18:54:53 (00:17:11) (chat)  Salvatore_Ursus: прям в грязных ботов в душ
18:54:58 (00:17:16) (chat)  Salvatore_Ursus: *блтах
18:55:00 (00:17:18) (chat)  xbi_xbi: ну точно помытся приходила...охренела DansGame LUL
18:55:10 (00:17:28) (chat)  jubi_ju: ругаиццо PogChamp
18:55:11 (00:17:29) (chat)  Kate_Rey: @tanya_monster_games, любовь зла Kappa
18:55:15 (00:17:34) (chat)  trom6one: ГГ прям нелюдим и это писец как вписывается в контекст
18:55:25 (00:17:43) (chat)  EnJiL: чего они все его щемят artgam2Cry
18:55:26 (00:17:45) (chat)  Salvatore_Ursus: @tanya_monster_games, artgam2AGHeavyHorns tanyagSirCat tanyagNewYearMeow
18:55:33 (00:17:51) (chat)  d0ct0rxy: ну и вопросики пошли LUL3D
18:55:39 (00:17:57) (chat)  jubi_ju: Сэм от нее так отодвигается, когда она хочет сесть или приблизиться хд
18:55:52 (00:18:10) (chat)  Almost_dead_Anatoliy_13: @ArtGamesLP главное впёрлась в наш душ и ещё наезжает ?! Она прифигела ?! Давай пару посылок на неё уроним ?!)
18:56:01 (00:18:20) (chat)  Salvatore_Ursus: @almost_dead_anatoliy_13, Пусть тогда оплатит потраченную воду!
18:56:09 (00:18:27) (chat)  igorexa19: @ArtGamesLP Вся игра кароче про компанию нокия, которая делает конектинг пипл artgam2ALO я все разгадал
18:56:13 (00:18:31) (chat)  Almost_dead_Anatoliy_13: @Salvatore_Ursus натурой ?!)
18:56:26 (00:18:45) (chat)  raarjin: спонтанное душеизлияние wlgHype
18:56:52 (00:19:11) (chat)  1_AkumaShield: Всё же оригинальное озвучивание гораздо круче всех остальных Прям в тему с музыкой и прочим
18:56:59 (00:19:17) (chat)  d0ct0rxy: OHMYGOD
18:57:01 (00:19:19) (chat)  1_AkumaShield: BibleThump BibleThump BibleThump
18:57:02 (00:19:21) (chat)  xJusTin8x: D:
18:57:21 (00:19:39) (chat)  Kalitvenic: эта девушка напоминает - Молчунью из МГС
18:57:39 (00:19:57) (chat)  Andjey_Kharkov: Интересно, это она плачет типа потому что ей грустно, либо это аллергическая реакция, хиральные слезы или как там говорилось из-за ее ДУМ
18:57:49 (00:20:07) (chat)  barfly89: ну эта известная актриса много где играет в фильмах
18:58:18 (00:20:36) (chat)  jubi_ju: она пристает, а мы даже не пользовались её помощью с прыжками. Тёма, го ее эксплуатировать, как она наш душ и нашу приватную жизнь! artgam2ALO artgam2ALO @ArtGamesLP
18:58:20 (00:20:39) (chat)  barfly89: в беславных ублюдках играла
18:58:25 (00:20:43) (chat)  9_enot_you_not: значит она террорист
18:58:33 (00:20:52) (chat)  jubi_ju: и в отеле гранд будапешт ещё)
18:58:34 (00:20:52) (chat)  9_enot_you_not: давай сожжем её
18:58:37 (00:20:55) (chat)  9_enot_you_not: заживо
18:58:45 (00:21:03) (chat)  Heropor: Пееееей
18:58:45 (00:21:04) (chat)  Almost_dead_Anatoliy_13: @ArtGamesLP ночью советь её поимела видать )
18:58:55 (00:21:13) (chat)  9_enot_you_not: она много где играла
18:58:58 (00:21:17) (chat)  istorik87: эээ напомните как это она делает?
18:59:03 (00:21:21) (chat)  d0ct0rxy: Она играла в "Курске"
18:59:04 (00:21:22) (chat)  trom6one: @ArtGamesLP а давай попробуем кепарик одеть )
18:59:20 (00:21:38) (chat)  d0ct0rxy: оч советую кстати
18:59:20 (00:21:39) (chat)  igorexa19: Кто она artgam2Iq20
18:59:31 (00:21:50) (chat)  trom6one: ну топ жешь ну
18:59:35 (00:21:54) (chat)  jubi_ju: да там эпизодическая роль была маленькая) служанку Мадам Д @ArtGamesLP
18:59:38 (00:21:57) (chat)  d0ct0rxy: Актриса Леа Сейду
18:59:55 (00:22:13) (chat)  Kate_Rey: самая популярная роль наверное в Бондиане
19:00:10 (00:22:28) (chat)  Kate_Rey: в Красавице и чудовище
19:00:11 (00:22:30) (chat)  Nightbot: На разные суммы доната стоят разные оповещения. АЦКИЕ АЛЕРТЫ на 666 и 6666 рублей. . От 50 до 299, от 300 до 499, от 500 до 799, от 800 до 999, от 1000 до 1299, от 1300 и так далее. https://donatepay.ru/don/artgames
19:00:14 (00:22:33) (chat)  jubi_ju: и в бесславных бастардах играла младшую дочь Лапедитов) @ArtGamesLP
19:00:47 (00:23:06) (chat)  igorexa19: вбил в гугл имя актрисы, выдало Рами Малек, окееей monkaS
19:01:02 (00:23:20) (chat)  d0ct0rxy: LUL
19:01:07 (00:23:26) (chat)  Nightbot: Наш сервер в ДИСКОРДЕ. Присоединяйттесь: https://discordapp.com/invite/999ZDJs
19:01:18 (00:23:36) (chat)  Salvatore_Ursus: @9_enot_you_not, bufaDonAptypo artgam2AGHeavyHorns bufaKojimaGenius
19:01:20 (00:23:38) (chat)  Tot2D2: Ох. всем привет. 0/ А я только прошлый стрим досмотрел
19:01:33 (00:23:51) (chat)  9_enot_you_not: @salvatore_ursus, x9enotHI
19:01:35 (00:23:53) (chat)  jubi_ju: а чо, мулов можно было как-то убить? :0
19:01:37 (00:23:55) (chat)  Tot2D2: Тачка у нас осталась после загрузки?
19:02:04 (00:24:22) (chat)  TemnayaChashkaPetrI: кстати: как игра по ощущениям?
19:02:07 (00:24:26) (chat)  Nightbot: ЧАТИК, НАПОМНИТЕ СТРИМЛЕРУ ПОПИТЬ ВОДИЧКИ!!! Спасибо.
19:02:07 (00:24:26) (chat)  Vikingvladivostokrus: Примитивный ии который не осознаёт себя) разумные ии - врят ли будут в этом будущем)
19:02:10 (00:24:28) (chat)  Andjey_Kharkov: А если МУЛа задавить, будет биг бадабум?
19:02:14 (00:24:32) (chat)  igorexa19: Уже тачка есть? Я где то уснул похоже
19:02:26 (00:24:44) (chat)  trom6one: о, новенькое
19:02:46 (00:25:04) (chat)  jubi_ju: сам Кодзима вроде как выступает за мир во всем мире, и он это в игре продвигает под видом того, что убивать нельзя из-за кратеров, если я правильно поняла
19:03:26 (00:25:44) (chat)  1_AkumaShield: Может быть именно в том моменте она плакала от себя (от грусти и т.д.), а не от каких-то реакций, а может реакции и связаны с внутренним миром личности Интересно-интересно-интересно... @Andjey_Kharkov
19:03:42 (00:26:00) (chat)  Almost_dead_Anatoliy_13: @ArtGamesLP на козырёк кепки тоже можно было бы чёт положит ! Чё он порожняком вот это вот ))
19:03:43 (00:26:01) (chat)  9_enot_you_not: в этой играе вообще много мировых проблем затронуто, если посмотреть
19:04:04 (00:26:23) (chat)  jubi_ju: пока Тёма проходит дез стрендинг, я успела перепройти по 10 кругу Инквизицию за пару дней LUL LUL
19:04:05 (00:26:23) (chat)  Nightbot: Записи стримов на Ютубе тут https://www.youtube.com/channel/UCGxQiNmp179gIJRCs47IRRg
19:04:38 (00:26:57) (chat)  Almost_dead_Anatoliy_13: @jubi_ju на инсейне ?!)
19:04:47 (00:27:06) (chat)  Konaken_Skywalker: а почему два вида моцыка?
19:04:48 (00:27:06) (chat)  vnikopol: стройка
19:04:55 (00:27:13) (chat)  jubi_ju: @Almost_dead_Anatoliy_13 на сложном, рейдю драконов х)
19:05:06 (00:27:24) (chat)  Nightbot: Дорогой зритель, ты можешь поддержать стримера по этой ссылочке, спасибо. https://donatepay.ru/don/artgames Топ донатер в конце месяца может выбрать игру для стрима.
19:05:18 (00:27:37) (chat)  Konaken_Skywalker: а, понял
19:05:24 (00:27:43) (chat)  Andjey_Kharkov: Смола может тоже нужна?
19:05:27 (00:27:45) (chat)  Almost_dead_Anatoliy_13: @jubi_ju а надо было на инсейне ))
19:05:35 (00:27:54) (chat)  Tot2D2: Ого, судя по надписям на прошлом стриме (о доставке материалов), тут игроки целую БАМ начали возводить
19:05:36 (00:27:54) (chat)  jubi_ju: @Almost_dead_Anatoliy_13 кому надо было?)
19:05:52 (00:28:10) (chat)  Almost_dead_Anatoliy_13: @jubi_ju я нинаю )
19:06:05 (00:28:23) (chat)  Nightbot: Уважаемые нонсабы, не забудьте напомнить стримлеру включить вам рекламу. Спасибо
19:07:04 (00:29:22) (chat)  Nightbot: Команды для бота в нашем чате: !time !game !youtube !vk !discord !alert
19:07:07 (00:29:25) (chat)  igorexa19: @ArtGamesLP Был какойто заказ для труповозки?
19:07:43 (00:30:02) (chat)  TemnayaChashkaPetrI: !alert
19:07:43 (00:30:02) (chat)  Nightbot: На разные суммы доната стоят разные оповещения. АЦКИЕ АЛЕРТЫ на 666 и 6666 рублей. . От 50 до 299, от 300 до 499, от 500 до 799, от 800 до 999, от 1000 до 1299, от 1300 и так далее. https://donatepay.ru/don/artgames
19:07:55 (00:30:13) (chat)  TemnayaChashkaPetrI: ага. понял
19:08:04 (00:30:22) (chat)  Nightbot: По моему промокоду ARTGAMES ты получишь бонус до 6500 RUB при первом депозите - http://bit.ly/2Gh0MpU
19:08:26 (00:30:44) (chat)  Kalitvenic: Cэм Терминатович artgam2Wtf
19:08:28 (00:30:46) (chat)  korben___detka: LUL LUL
19:08:32 (00:30:50) (chat)  vnikopol: Kreygasm
19:08:33 (00:30:51) (chat)  trom6one: ору
19:08:35 (00:30:53) (chat)  igorexa19: плюс уши artgam2RAGE
19:08:55 (00:31:13) (chat)  Andjey_Kharkov: Может взять смолы, хоть 50 на всякий,все равно в грузовик вопхнем?
19:09:04 (00:31:22) (chat)  trom6one: artgam2AGHeavyHorns
19:09:04 (00:31:23) (chat)  jubi_ju: LUL
19:09:18 (00:31:36) (chat)  SwedUdolda: @ArtGamesLP +инфаркт
19:09:24 (00:31:43) (chat)  jubi_ju: @ArtGamesLP а с Веномом донат самодельный?
